county,office,district,party,candidate,votes
APPLING,President,,Democrat,CAROL MOSELY BRAUN,4
ATKINSON,President,,Democrat,CAROL MOSELY BRAUN,2
BACON,President,,Democrat,CAROL MOSELY BRAUN,4
BAKER,President,,Democrat,CAROL MOSELY BRAUN,4
BALDWIN,President,,Democrat,CAROL MOSELY BRAUN,36
BANKS,President,,Democrat,CAROL MOSELY BRAUN,6
BARROW,President,,Democrat,CAROL MOSELY BRAUN,11
BARTOW,President,,Democrat,CAROL MOSELY BRAUN,20
BEN HILL,President,,Democrat,CAROL MOSELY BRAUN,7
BERRIEN,President,,Democrat,CAROL MOSELY BRAUN,7
BIBB,President,,Democrat,CAROL MOSELY BRAUN,106
BLECKLEY,President,,Democrat,CAROL MOSELY BRAUN,1
BRANTLEY,President,,Democrat,CAROL MOSELY BRAUN,6
BROOKS,President,,Democrat,CAROL MOSELY BRAUN,15
BRYAN,President,,Democrat,CAROL MOSELY BRAUN,7
BULLOCH,President,,Democrat,CAROL MOSELY BRAUN,22
BURKE,President,,Democrat,CAROL MOSELY BRAUN,23
BUTTS,President,,Democrat,CAROL MOSELY BRAUN,12
CALHOUN,President,,Democrat,CAROL MOSELY BRAUN,14
CAMDEN,President,,Democrat,CAROL MOSELY BRAUN,10
CANDLER,President,,Democrat,CAROL MOSELY BRAUN,3
CARROLL,President,,Democrat,CAROL MOSELY BRAUN,42
CATOOSA,President,,Democrat,CAROL MOSELY BRAUN,8
CHARLTON,President,,Democrat,CAROL MOSELY BRAUN,4
CHATHAM,President,,Democrat,CAROL MOSELY BRAUN,139
CHATTAHOOCHEE,President,,Democrat,CAROL MOSELY BRAUN,5
CHATTOOGA,President,,Democrat,CAROL MOSELY BRAUN,8
CHEROKEE,President,,Democrat,CAROL MOSELY BRAUN,40
CLARKE,President,,Democrat,CAROL MOSELY BRAUN,39
CLAY,President,,Democrat,CAROL MOSELY BRAUN,4
CLAYTON,President,,Democrat,CAROL MOSELY BRAUN,160
CLINCH,President,,Democrat,CAROL MOSELY BRAUN,5
COBB,President,,Democrat,CAROL MOSELY BRAUN,216
COFFEE,President,,Democrat,CAROL MOSELY BRAUN,12
COLQUITT,President,,Democrat,CAROL MOSELY BRAUN,12
COLUMBIA,President,,Democrat,CAROL MOSELY BRAUN,17
COOK,President,,Democrat,CAROL MOSELY BRAUN,4
COWETA,President,,Democrat,CAROL MOSELY BRAUN,46
CRAWFORD,President,,Democrat,CAROL MOSELY BRAUN,3
CRISP,President,,Democrat,CAROL MOSELY BRAUN,6
DADE,President,,Democrat,CAROL MOSELY BRAUN,1
DAWSON,President,,Democrat,CAROL MOSELY BRAUN,6
DECATUR,President,,Democrat,CAROL MOSELY BRAUN,21
DEKALB,President,,Democrat,CAROL MOSELY BRAUN,510
DODGE,President,,Democrat,CAROL MOSELY BRAUN,8
DOOLY,President,,Democrat,CAROL MOSELY BRAUN,9
DOUGHERTY,President,,Democrat,CAROL MOSELY BRAUN,53
DOUGLAS,President,,Democrat,CAROL MOSELY BRAUN,42
EARLY,President,,Democrat,CAROL MOSELY BRAUN,9
ECHOLS,President,,Democrat,CAROL MOSELY BRAUN,2
EFFINGHAM,President,,Democrat,CAROL MOSELY BRAUN,13
ELBERT,President,,Democrat,CAROL MOSELY BRAUN,12
EMANUEL,President,,Democrat,CAROL MOSELY BRAUN,12
EVANS,President,,Democrat,CAROL MOSELY BRAUN,3
FANNIN,President,,Democrat,CAROL MOSELY BRAUN,1
FAYETTE,President,,Democrat,CAROL MOSELY BRAUN,26
FLOYD,President,,Democrat,CAROL MOSELY BRAUN,21
FORSYTH,President,,Democrat,CAROL MOSELY BRAUN,22
FRANKLIN,President,,Democrat,CAROL MOSELY BRAUN,2
FULTON,President,,Democrat,CAROL MOSELY BRAUN,405
GILMER,President,,Democrat,CAROL MOSELY BRAUN,4
GLASCOCK,President,,Democrat,CAROL MOSELY BRAUN,2
GLYNN,President,,Democrat,CAROL MOSELY BRAUN,26
GORDON,President,,Democrat,CAROL MOSELY BRAUN,7
GRADY,President,,Democrat,CAROL MOSELY BRAUN,23
GREENE,President,,Democrat,CAROL MOSELY BRAUN,19
GWINNETT,President,,Democrat,CAROL MOSELY BRAUN,148
HABERSHAM,President,,Democrat,CAROL MOSELY BRAUN,8
HALL,President,,Democrat,CAROL MOSELY BRAUN,34
HANCOCK,President,,Democrat,CAROL MOSELY BRAUN,14
HARALSON,President,,Democrat,CAROL MOSELY BRAUN,9
HARRIS,President,,Democrat,CAROL MOSELY BRAUN,10
HART,President,,Democrat,CAROL MOSELY BRAUN,6
HEARD,President,,Democrat,CAROL MOSELY BRAUN,9
HENRY,President,,Democrat,CAROL MOSELY BRAUN,70
HOUSTON,President,,Democrat,CAROL MOSELY BRAUN,32
IRWIN,President,,Democrat,CAROL MOSELY BRAUN,2
JACKSON,President,,Democrat,CAROL MOSELY BRAUN,19
JASPER,President,,Democrat,CAROL MOSELY BRAUN,6
JEFF DAVIS,President,,Democrat,CAROL MOSELY BRAUN,9
JEFFERSON,President,,Democrat,CAROL MOSELY BRAUN,11
JENKINS,President,,Democrat,CAROL MOSELY BRAUN,4
JOHNSON,President,,Democrat,CAROL MOSELY BRAUN,6
JONES,President,,Democrat,CAROL MOSELY BRAUN,15
LAMAR,President,,Democrat,CAROL MOSELY BRAUN,9
LANIER,President,,Democrat,CAROL MOSELY BRAUN,5
LAURENS,President,,Democrat,CAROL MOSELY BRAUN,35
LEE,President,,Democrat,CAROL MOSELY BRAUN,6
LIBERTY,President,,Democrat,CAROL MOSELY BRAUN,13
LINCOLN,President,,Democrat,CAROL MOSELY BRAUN,13
LONG,President,,Democrat,CAROL MOSELY BRAUN,7
LOWNDES,President,,Democrat,CAROL MOSELY BRAUN,25
LUMPKIN,President,,Democrat,CAROL MOSELY BRAUN,14
MACON,President,,Democrat,CAROL MOSELY BRAUN,11
MADISON,President,,Democrat,CAROL MOSELY BRAUN,7
MARION,President,,Democrat,CAROL MOSELY BRAUN,13
MCDUFFIE,President,,Democrat,CAROL MOSELY BRAUN,21
MCINTOSH,President,,Democrat,CAROL MOSELY BRAUN,8
MERIWETHER,President,,Democrat,CAROL MOSELY BRAUN,18
MILLER,President,,Democrat,CAROL MOSELY BRAUN,5
MITCHELL,President,,Democrat,CAROL MOSELY BRAUN,16
MONROE,President,,Democrat,CAROL MOSELY BRAUN,8
MONTGOMERY,President,,Democrat,CAROL MOSELY BRAUN,4
