county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Miller,,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),87,4,71,12,0
Miller,Colquitt-Miller,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),87,4,71,12,0
Miller,,"Public Service Commission, District 3",3,REP,MATT REID,44,0,38,4,2
Miller,Colquitt-Miller,"Public Service Commission, District 3",3,REP,MATT REID,44,0,38,4,2
Miller,,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,724,52,496,176,0
Miller,Colquitt-Miller,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,724,52,496,176,0
Miller,,"Public Service Commission, District 5",5,REP,PAM DAVIDSON,46,1,41,3,1
Miller,Colquitt-Miller,"Public Service Commission, District 5",5,REP,PAM DAVIDSON,46,1,41,3,1
Miller,,"Public Service Commission, District 5",5,REP,STAN WISE (I),81,3,64,13,1
Miller,Colquitt-Miller,"Public Service Commission, District 5",5,REP,STAN WISE (I),81,3,64,13,1
Miller,,"U.S. Representative, District 2",2,REP,RICK ALLEN,53,2,47,4,0
Miller,Colquitt-Miller,"U.S. Representative, District 2",2,REP,RICK ALLEN,53,2,47,4,0
Miller,,"U.S. Representative, District 2",2,REP,KEN DELOACH,37,0,31,6,0
Miller,Colquitt-Miller,"U.S. Representative, District 2",2,REP,KEN DELOACH,37,0,31,6,0
Miller,,"U.S. Representative, District 2",2,REP,JOHN HOUSE,36,1,30,3,2
Miller,Colquitt-Miller,"U.S. Representative, District 2",2,REP,JOHN HOUSE,36,1,30,3,2
Miller,,"U.S. Representative, District 2",2,DEM,SANFORD BISHOP (I),837,52,538,246,1
Miller,Colquitt-Miller,"U.S. Representative, District 2",2,DEM,SANFORD BISHOP (I),837,52,538,246,1
Miller,,"State Senator, District 11",11,REP,JOHN BULLOCH (I),126,3,104,17,2
Miller,Colquitt-Miller,"State Senator, District 11",11,REP,JOHN BULLOCH (I),126,3,104,17,2
Miller,,"State Representative, District 154",154,DEM,WINFRED DUKES (I),708,50,476,182,0
Miller,Colquitt-Miller,"State Representative, District 154",154,DEM,WINFRED DUKES (I),708,50,476,182,0
Miller,,"District Attorney, Pataula Circuit", Pataula Circuit - DEM,DEM,T. CRAIG EARNEST (I),925,55,633,236,1
Miller,Colquitt-Miller,"District Attorney, Pataula Circuit", Pataula Circuit - DEM,DEM,T. CRAIG EARNEST (I),925,55,633,236,1
Miller,,"CLERK, SUPERIOR COURT", SUPERIOR COURT - D,,GAIL JOHNSON,989,61,650,276,2
Miller,Colquitt-Miller,"CLERK, SUPERIOR COURT", SUPERIOR COURT - D,,GAIL JOHNSON,989,61,650,276,2
Miller,,SHERIFF,,,H.E. BUDDY  GLASS,1145,89,681,374,1
Miller,Colquitt-Miller,SHERIFF,,,H.E. BUDDY  GLASS,1145,89,681,374,1
Miller,,SHERIFF,,,WALLACE PHILLIPS,400,12,272,113,3
Miller,Colquitt-Miller,SHERIFF,,,WALLACE PHILLIPS,400,12,272,113,3
Miller,,SHERIFF,,,DAVID BEAN,86,4,73,7,2
Miller,Colquitt-Miller,SHERIFF,,,DAVID BEAN,86,4,73,7,2
Miller,,TAX COMMISSIONER,,,JENNIFER WILLIAMS,1044,66,683,294,1
Miller,Colquitt-Miller,TAX COMMISSIONER,,,JENNIFER WILLIAMS,1044,66,683,294,1
Miller,,CORONER,,,DANNY B SHEFFIELD,1105,66,732,305,2
Miller,Colquitt-Miller,CORONER,,,DANNY B SHEFFIELD,1105,66,732,305,2
Miller,,"CC, D1", D1 - D,,FRANKIE PHILLIPS,167,6,114,47,0
Miller,Colquitt-Miller,"CC, D1", D1 - D,,FRANKIE PHILLIPS,167,6,114,47,0
Miller,,"CC, D3", D3 - D,,LADON CALHOUN,93,12,54,26,1
Miller,Colquitt-Miller,"CC, D3", D3 - D,,LADON CALHOUN,93,12,54,26,1
Miller,,"CC, D3", D3 - D,,WENDELL H. COX,111,4,81,25,1
Miller,Colquitt-Miller,"CC, D3", D3 - D,,WENDELL H. COX,111,4,81,25,1
Miller,,"CC, D3", D3 - D,,ALLEN WORSLEY,111,9,62,40,0
Miller,Colquitt-Miller,"CC, D3", D3 - D,,ALLEN WORSLEY,111,9,62,40,0
Miller,,"CC, D5", D5 - D,,JERRY A. BUSH,162,19,79,63,1
Miller,Colquitt-Miller,"CC, D5", D5 - D,,JERRY A. BUSH,162,19,79,63,1
Miller,,"CC, D5", D5 - D,,DENNIS E. HAIRE,74,15,39,20,0
Miller,Colquitt-Miller,"CC, D5", D5 - D,,DENNIS E. HAIRE,74,15,39,20,0
Miller,,"CC, D5", D5 - D,,"JIMMY ""BO""HAYWOOD",74,0,58,15,1
Miller,Colquitt-Miller,"CC, D5", D5 - D,,"JIMMY ""BO""HAYWOOD",74,0,58,15,1
Miller,,"CC, D5", D5 - D,,HOWARD G. SMALL JR.,82,3,57,22,0
Miller,Colquitt-Miller,"CC, D5", D5 - D,,HOWARD G. SMALL JR.,82,3,57,22,0
Miller,,BOE D1,,,LEROY M. BUSH ,177,4,102,71,0
Miller,Colquitt-Miller,BOE D1,,,LEROY M. BUSH ,177,4,102,71,0
Miller,,BOE D1,,,XAVIER SALTER,124,3,79,42,0
Miller,Colquitt-Miller,BOE D1,,,XAVIER SALTER,124,3,79,42,0
Miller,,BOE D3,,,"J.C. ""BUDDY"" JOHNSON",30,0,25,3,2
Miller,Colquitt-Miller,BOE D3,,,"J.C. ""BUDDY"" JOHNSON",30,0,25,3,2
Miller,,BOE D3,,,STACY SHEFFIELD,225,21,147,55,2
Miller,Colquitt-Miller,BOE D3,,,STACY SHEFFIELD,225,21,147,55,2
Miller,,BOE D5,,,BILLY W. ROLAND,33,0,32,1,0
Miller,Colquitt-Miller,BOE D5,,,BILLY W. ROLAND,33,0,32,1,0
Miller,,Republican Party Question 1<br>Should Georgia have casino gambling with funds going to education?,,REP,YES,72,3,62,6,1
Miller,Colquitt-Miller,Republican Party Question 1<br>Should Georgia have casino gambling with funds going to education?,,REP,YES,72,3,62,6,1
Miller,,Republican Party Question 1<br>Should Georgia have casino gambling with funds going to education?,,REP,NO,89,2,73,13,1
Miller,Colquitt-Miller,Republican Party Question 1<br>Should Georgia have casino gambling with funds going to education?,,REP,NO,89,2,73,13,1
Miller,,Republican Party Question 2<br>Do you support ending the current practice of unlimited gifts from lobbyists to state legislators by imposing a $100 cap on such gifts?,,REP,YES,122,4,99,17,2
Miller,Colquitt-Miller,Republican Party Question 2<br>Do you support ending the current practice of unlimited gifts from lobbyists to state legislators by imposing a $100 cap on such gifts?,,REP,YES,122,4,99,17,2
Miller,,Republican Party Question 2<br>Do you support ending the current practice of unlimited gifts from lobbyists to state legislators by imposing a $100 cap on such gifts?,,REP,NO,32,1,29,2,0
Miller,Colquitt-Miller,Republican Party Question 2<br>Do you support ending the current practice of unlimited gifts from lobbyists to state legislators by imposing a $100 cap on such gifts?,,REP,NO,32,1,29,2,0
Miller,,Republican Party Question 3<br>Should active duty military personnel who are under the age of 21 be allowed to obtain a Georgia weapons license?,,REP,YES,111,1,98,10,2
Miller,Colquitt-Miller,Republican Party Question 3<br>Should active duty military personnel who are under the age of 21 be allowed to obtain a Georgia weapons license?,,REP,YES,111,1,98,10,2
Miller,,Republican Party Question 3<br>Should active duty military personnel who are under the age of 21 be allowed to obtain a Georgia weapons license?,,REP,NO,45,4,32,9,0
Miller,Colquitt-Miller,Republican Party Question 3<br>Should active duty military personnel who are under the age of 21 be allowed to obtain a Georgia weapons license?,,REP,NO,45,4,32,9,0
