county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Montgomery,,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),696,23,580,93,0
Montgomery,Ailey,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),56,0,39,17,0
Montgomery,Alston,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),96,2,85,9,0
Montgomery,Higgston,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),180,6,163,11,0
Montgomery,Kibbee,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),90,3,84,3,0
Montgomery,Mount Vernon,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),136,9,91,36,0
Montgomery,Tarrytown,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),50,0,47,3,0
Montgomery,Uvalda,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),88,3,71,14,0
Montgomery,,"Public Service Commission, District 3",3,REP,MATT REID,587,26,469,92,0
Montgomery,Ailey,"Public Service Commission, District 3",3,REP,MATT REID,55,6,37,12,0
Montgomery,Alston,"Public Service Commission, District 3",3,REP,MATT REID,72,1,62,9,0
Montgomery,Higgston,"Public Service Commission, District 3",3,REP,MATT REID,151,5,131,15,0
Montgomery,Kibbee,"Public Service Commission, District 3",3,REP,MATT REID,60,4,49,7,0
Montgomery,Mount Vernon,"Public Service Commission, District 3",3,REP,MATT REID,109,4,71,34,0
Montgomery,Tarrytown,"Public Service Commission, District 3",3,REP,MATT REID,55,3,46,6,0
Montgomery,Uvalda,"Public Service Commission, District 3",3,REP,MATT REID,85,3,73,9,0
Montgomery,,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,498,20,373,104,1
Montgomery,Ailey,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,44,2,36,5,1
Montgomery,Alston,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,32,1,28,3,0
Montgomery,Higgston,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,51,3,44,4,0
Montgomery,Kibbee,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,26,1,21,4,0
Montgomery,Mount Vernon,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,228,7,145,76,0
Montgomery,Tarrytown,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,18,0,16,2,0
Montgomery,Uvalda,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,99,6,83,10,0
Montgomery,,"Public Service Commission, District 5",5,REP,PAM DAVIDSON,554,23,450,81,0
