county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Wilkes,,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),560,13,400,147,0
Wilkes,Senior Citizen Center,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),105,4,70,31,0
Wilkes,Young Farmer's Bldg,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),150,1,107,42,0
Wilkes,Metasville Fire Station,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),53,1,43,9,0
Wilkes,Edward B Pope Center,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),35,0,27,8,0
Wilkes,Rayle City Hall,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),44,1,37,6,0
Wilkes,Courthouse,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),110,6,63,41,0
Wilkes,Tignall Sch Lunch RM,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),63,0,53,10,0
Wilkes,,"Public Service Commission, District 3",3,REP,MATT REID,204,3,157,44,0
Wilkes,Senior Citizen Center,"Public Service Commission, District 3",3,REP,MATT REID,31,1,20,10,0
Wilkes,Young Farmer's Bldg,"Public Service Commission, District 3",3,REP,MATT REID,62,0,49,13,0
Wilkes,Metasville Fire Station,"Public Service Commission, District 3",3,REP,MATT REID,20,0,17,3,0
Wilkes,Edward B Pope Center,"Public Service Commission, District 3",3,REP,MATT REID,9,0,5,4,0
Wilkes,Rayle City Hall,"Public Service Commission, District 3",3,REP,MATT REID,19,0,16,3,0
Wilkes,Courthouse,"Public Service Commission, District 3",3,REP,MATT REID,29,0,19,10,0
Wilkes,Tignall Sch Lunch RM,"Public Service Commission, District 3",3,REP,MATT REID,34,2,31,1,0
Wilkes,,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,722,22,557,143,0
Wilkes,Senior Citizen Center,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,182,7,132,43,0
Wilkes,Young Farmer's Bldg,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,110,0,87,23,0
Wilkes,Metasville Fire Station,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,59,2,51,6,0
Wilkes,Edward B Pope Center,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,113,12,82,19,0
Wilkes,Rayle City Hall,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,51,0,46,5,0
Wilkes,Courthouse,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,118,1,83,34,0
Wilkes,Tignall Sch Lunch RM,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,89,0,76,13,0
