county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Carroll,,State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",2787,73,2053,660,1
Carroll,KANSAS (1006),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",46,2,39,5,0
Carroll,BOWDON (1111),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",79,2,68,9,0
Carroll,SANDHILL (1122),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",108,4,75,29,0
Carroll,CENTER POINT (1152),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",88,0,80,8,0
Carroll,LOWELL (1163),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",64,0,50,14,0
Carroll,MT ZION (1240),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",75,0,63,12,0
Carroll,BURWELL (1371),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",56,1,51,4,0
Carroll,CLEM (1483),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",255,4,153,98,0
Carroll,BOWDON JUNCTION (1496),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",53,2,42,9,0
Carroll,TYUS (1533),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",76,1,65,10,0
Carroll,FAIRFIELD (1540),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",164,2,139,23,0
Carroll,HULETT (1542),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",71,1,63,7,0
Carroll,BETHANY (501),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",101,3,72,26,0
Carroll,V R COUNTY SOUTH (640),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",86,4,70,12,0
Carroll,V R COUNTY NORTH (641),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",96,4,80,11,1
Carroll,VILLA RICA CITY (642),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",78,5,70,3,0
Carroll,TEMPLE COUNTY (649),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",86,5,74,7,0
Carroll,TEMPLE CITY (650),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",78,3,72,3,0
Carroll,WHITESBURG (682),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",85,1,74,10,0
Carroll,ROOPVILLE (713),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",82,0,72,10,0
Carroll,WEST CARROLLTON (714A1),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",17,2,9,6,0
Carroll,EAST CARROLLTON REC (714A2),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",51,1,36,14,0
Carroll,BONNER (714A3),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",195,13,108,74,0
Carroll,UNIVERSITY OF W. GA (714A4),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",152,4,77,71,0
Carroll,COUNTY ADMIN BLDG (714A5),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",129,0,57,72,0
Carroll,TABERNACLE CHURCH (714A6),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",99,6,56,37,0
Carroll,EMC (714BN),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",38,0,23,15,0
Carroll,OLD CAMP CHURCH (714BW),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",123,3,87,33,0
Carroll,OAK GROVE (715),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",132,0,107,25,0
Carroll,NEW HOPE (716),State School Superintendent - REP,,REP,"MICHAEL L. ""MIKE"" BUCK",24,0,21,3,0
Carroll,,State School Superintendent - REP,,REP,RICHARD L. WOODS,2744,83,2168,493,0
Carroll,KANSAS (1006),State School Superintendent - REP,,REP,RICHARD L. WOODS,50,1,47,2,0
Carroll,BOWDON (1111),State School Superintendent - REP,,REP,RICHARD L. WOODS,101,4,87,10,0
Carroll,SANDHILL (1122),State School Superintendent - REP,,REP,RICHARD L. WOODS,136,1,102,33,0
Carroll,CENTER POINT (1152),State School Superintendent - REP,,REP,RICHARD L. WOODS,120,4,101,15,0
Carroll,LOWELL (1163),State School Superintendent - REP,,REP,RICHARD L. WOODS,72,3,59,10,0
Carroll,MT ZION (1240),State School Superintendent - REP,,REP,RICHARD L. WOODS,74,0,64,10,0
Carroll,BURWELL (1371),State School Superintendent - REP,,REP,RICHARD L. WOODS,61,7,49,5,0
Carroll,CLEM (1483),State School Superintendent - REP,,REP,RICHARD L. WOODS,206,2,154,50,0
Carroll,BOWDON JUNCTION (1496),State School Superintendent - REP,,REP,RICHARD L. WOODS,59,0,50,9,0
Carroll,TYUS (1533),State School Superintendent - REP,,REP,RICHARD L. WOODS,76,2,72,2,0
Carroll,FAIRFIELD (1540),State School Superintendent - REP,,REP,RICHARD L. WOODS,135,4,117,14,0
Carroll,HULETT (1542),State School Superintendent - REP,,REP,RICHARD L. WOODS,102,6,81,15,0
Carroll,BETHANY (501),State School Superintendent - REP,,REP,RICHARD L. WOODS,94,2,70,22,0
Carroll,V R COUNTY SOUTH (640),State School Superintendent - REP,,REP,RICHARD L. WOODS,102,1,88,13,0
Carroll,V R COUNTY NORTH (641),State School Superintendent - REP,,REP,RICHARD L. WOODS,109,1,101,7,0
Carroll,VILLA RICA CITY (642),State School Superintendent - REP,,REP,RICHARD L. WOODS,118,5,106,7,0
Carroll,TEMPLE COUNTY (649),State School Superintendent - REP,,REP,RICHARD L. WOODS,103,4,86,13,0
Carroll,TEMPLE CITY (650),State School Superintendent - REP,,REP,RICHARD L. WOODS,78,2,67,9,0
Carroll,WHITESBURG (682),State School Superintendent - REP,,REP,RICHARD L. WOODS,89,2,73,14,0
Carroll,ROOPVILLE (713),State School Superintendent - REP,,REP,RICHARD L. WOODS,89,1,77,11,0
Carroll,WEST CARROLLTON (714A1),State School Superintendent - REP,,REP,RICHARD L. WOODS,18,2,7,9,0
Carroll,EAST CARROLLTON REC (714A2),State School Superintendent - REP,,REP,RICHARD L. WOODS,54,4,32,18,0
Carroll,BONNER (714A3),State School Superintendent - REP,,REP,RICHARD L. WOODS,108,9,57,42,0
Carroll,UNIVERSITY OF W. GA (714A4),State School Superintendent - REP,,REP,RICHARD L. WOODS,95,1,60,34,0
Carroll,COUNTY ADMIN BLDG (714A5),State School Superintendent - REP,,REP,RICHARD L. WOODS,80,4,35,41,0
Carroll,TABERNACLE CHURCH (714A6),State School Superintendent - REP,,REP,RICHARD L. WOODS,93,7,65,21,0
Carroll,EMC (714BN),State School Superintendent - REP,,REP,RICHARD L. WOODS,64,1,49,14,0
Carroll,OLD CAMP CHURCH (714BW),State School Superintendent - REP,,REP,RICHARD L. WOODS,145,2,118,25,0
Carroll,OAK GROVE (715),State School Superintendent - REP,,REP,RICHARD L. WOODS,90,1,73,16,0
Carroll,NEW HOPE (716),State School Superintendent - REP,,REP,RICHARD L. WOODS,23,0,21,2,0
