county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Early,,United States Senator,,R,DAVID A. PERDUE,1648,47,1133,466,2
Early,Arlington,United States Senator,,R,DAVID A. PERDUE,107,5,88,13,1
Early,Blakely,United States Senator,,R,DAVID A. PERDUE,538,20,250,267,1
Early,Colomokee,United States Senator,,R,DAVID A. PERDUE,78,1,58,19,0
Early,Cedar Springs,United States Senator,,R,DAVID A. PERDUE,89,0,82,7,0
Early,Cuba,United States Senator,,R,DAVID A. PERDUE,181,7,118,56,0
Early,Damascus,United States Senator,,R,DAVID A. PERDUE,111,5,87,19,0
Early,Freeman,United States Senator,,R,DAVID A. PERDUE,94,3,68,23,0
Early,Hilton,United States Senator,,R,DAVID A. PERDUE,96,1,76,19,0
Early,Jakin,United States Senator,,R,DAVID A. PERDUE,132,3,125,4,0
Early,Lucille,United States Senator,,R,DAVID A. PERDUE,127,1,98,28,0
Early,Urquhart,United States Senator,,R,DAVID A. PERDUE,95,1,83,11,0
Early,,United States Senator,,D,M. MICHELLE NUNN,1510,92,1004,413,1
Early,Arlington,United States Senator,,D,M. MICHELLE NUNN,95,17,66,12,0
Early,Blakely,United States Senator,,D,M. MICHELLE NUNN,805,52,483,270,0
Early,Colomokee,United States Senator,,D,M. MICHELLE NUNN,36,3,27,6,0
Early,Cedar Springs,United States Senator,,D,M. MICHELLE NUNN,32,1,29,2,0
Early,Cuba,United States Senator,,D,M. MICHELLE NUNN,100,7,38,54,1
Early,Damascus,United States Senator,,D,M. MICHELLE NUNN,167,4,151,12,0
Early,Freeman,United States Senator,,D,M. MICHELLE NUNN,26,1,14,11,0
Early,Hilton,United States Senator,,D,M. MICHELLE NUNN,32,0,31,1,0
Early,Jakin,United States Senator,,D,M. MICHELLE NUNN,90,1,78,11,0
Early,Lucille,United States Senator,,D,M. MICHELLE NUNN,105,4,69,32,0
Early,Urquhart,United States Senator,,D,M. MICHELLE NUNN,22,2,18,2,0
Early,,United States Senator,,L,AMANDA C. SWAFFORD,30,1,26,3,0
Early,Arlington,United States Senator,,L,AMANDA C. SWAFFORD,3,0,3,0,0
Early,Blakely,United States Senator,,L,AMANDA C. SWAFFORD,10,1,6,3,0
Early,Colomokee,United States Senator,,L,AMANDA C. SWAFFORD,1,0,1,0,0
Early,Cedar Springs,United States Senator,,L,AMANDA C. SWAFFORD,1,0,1,0,0
Early,Cuba,United States Senator,,L,AMANDA C. SWAFFORD,2,0,2,0,0
Early,Damascus,United States Senator,,L,AMANDA C. SWAFFORD,0,0,0,0,0
Early,Freeman,United States Senator,,L,AMANDA C. SWAFFORD,0,0,0,0,0
Early,Hilton,United States Senator,,L,AMANDA C. SWAFFORD,2,0,2,0,0
Early,Jakin,United States Senator,,L,AMANDA C. SWAFFORD,6,0,6,0,0
Early,Lucille,United States Senator,,L,AMANDA C. SWAFFORD,4,0,4,0,0
Early,Urquhart,United States Senator,,L,AMANDA C. SWAFFORD,1,0,1,0,0
Early,,Governor,,R,J. NATHAN DEAL (I),1606,49,1099,456,2
Early,Arlington,Governor,,R,J. NATHAN DEAL (I),106,5,86,14,1
Early,Blakely,Governor,,R,J. NATHAN DEAL (I),524,21,246,256,1
Early,Colomokee,Governor,,R,J. NATHAN DEAL (I),74,1,54,19,0
Early,Cedar Springs,Governor,,R,J. NATHAN DEAL (I),88,0,81,7,0
Early,Cuba,Governor,,R,J. NATHAN DEAL (I),178,7,118,53,0
Early,Damascus,Governor,,R,J. NATHAN DEAL (I),109,5,84,20,0
Early,Freeman,Governor,,R,J. NATHAN DEAL (I),94,3,68,23,0
Early,Hilton,Governor,,R,J. NATHAN DEAL (I),93,1,73,19,0
Early,Jakin,Governor,,R,J. NATHAN DEAL (I),124,4,116,4,0
Early,Lucille,Governor,,R,J. NATHAN DEAL (I),127,1,96,30,0
Early,Urquhart,Governor,,R,J. NATHAN DEAL (I),89,1,77,11,0
Early,,Governor,,D,JASON J. CARTER,1514,89,1010,414,1
Early,Arlington,Governor,,D,JASON J. CARTER,95,17,67,11,0
Early,Blakely,Governor,,D,JASON J. CARTER,809,50,481,278,0
Early,Colomokee,Governor,,D,JASON J. CARTER,41,3,32,6,0
Early,Cedar Springs,Governor,,D,JASON J. CARTER,34,1,31,2,0
Early,Cuba,Governor,,D,JASON J. CARTER,92,7,32,52,1
Early,Damascus,Governor,,D,JASON J. CARTER,167,4,152,11,0
Early,Freeman,Governor,,D,JASON J. CARTER,25,1,13,11,0
Early,Hilton,Governor,,D,JASON J. CARTER,31,0,31,0,0
Early,Jakin,Governor,,D,JASON J. CARTER,93,0,82,11,0
Early,Lucille,Governor,,D,JASON J. CARTER,103,4,69,30,0
Early,Urquhart,Governor,,D,JASON J. CARTER,24,2,20,2,0
Early,,Governor,,L,ANDREW T. HUNT,46,2,38,6,0
Early,Arlington,Governor,,L,ANDREW T. HUNT,2,0,2,0,0
Early,Blakely,Governor,,L,ANDREW T. HUNT,13,2,7,4,0
Early,Colomokee,Governor,,L,ANDREW T. HUNT,0,0,0,0,0
Early,Cedar Springs,Governor,,L,ANDREW T. HUNT,1,0,1,0,0
Early,Cuba,Governor,,L,ANDREW T. HUNT,6,0,5,1,0
Early,Damascus,Governor,,L,ANDREW T. HUNT,5,0,5,0,0
Early,Freeman,Governor,,L,ANDREW T. HUNT,1,0,1,0,0
Early,Hilton,Governor,,L,ANDREW T. HUNT,3,0,2,1,0
Early,Jakin,Governor,,L,ANDREW T. HUNT,8,0,8,0,0
Early,Lucille,Governor,,L,ANDREW T. HUNT,4,0,4,0,0
Early,Urquhart,Governor,,L,ANDREW T. HUNT,3,0,3,0,0
Early,,Lieutenant Governor,,R,"L. S. ""CASEY"" CAGLE (I)",1693,52,1166,473,2
Early,Arlington,Lieutenant Governor,,R,"L. S. ""CASEY"" CAGLE (I)",114,5,94,14,1
Early,Blakely,Lieutenant Governor,,R,"L. S. ""CASEY"" CAGLE (I)",552,23,256,272,1
Early,Colomokee,Lieutenant Governor,,R,"L. S. ""CASEY"" CAGLE (I)",82,2,61,19,0
Early,Cedar Springs,Lieutenant Governor,,R,"L. S. ""CASEY"" CAGLE (I)",95,0,88,7,0
Early,Cuba,Lieutenant Governor,,R,"L. S. ""CASEY"" CAGLE (I)",182,7,120,55,0
Early,Damascus,Lieutenant Governor,,R,"L. S. ""CASEY"" CAGLE (I)",115,5,92,18,0
Early,Freeman,Lieutenant Governor,,R,"L. S. ""CASEY"" CAGLE (I)",96,3,68,25,0
Early,Hilton,Lieutenant Governor,,R,"L. S. ""CASEY"" CAGLE (I)",93,1,75,17,0
Early,Jakin,Lieutenant Governor,,R,"L. S. ""CASEY"" CAGLE (I)",134,3,127,4,0
Early,Lucille,Lieutenant Governor,,R,"L. S. ""CASEY"" CAGLE (I)",136,2,103,31,0
Early,Urquhart,Lieutenant Governor,,R,"L. S. ""CASEY"" CAGLE (I)",94,1,82,11,0
Early,,Lieutenant Governor,,D,CONNIE J. STOKES,1467,88,975,403,1
Early,Arlington,Lieutenant Governor,,D,CONNIE J. STOKES,89,17,61,11,0
Early,Blakely,Lieutenant Governor,,D,CONNIE J. STOKES,798,50,480,268,0
Early,Colomokee,Lieutenant Governor,,D,CONNIE J. STOKES,31,2,23,6,0
Early,Cedar Springs,Lieutenant Governor,,D,CONNIE J. STOKES,27,1,24,2,0
Early,Cuba,Lieutenant Governor,,D,CONNIE J. STOKES,90,7,29,53,1
