county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Hart,,United States Senator,,R,DAVID A. PERDUE,4668,202,2959,1506,1
Hart,Hartwell,United States Senator,,R,DAVID A. PERDUE,1642,92,854,695,1
Hart,Goldmine,United States Senator,,R,DAVID A. PERDUE,514,28,387,99,0
Hart,Cokesbury,United States Senator,,R,DAVID A. PERDUE,243,4,184,55,0
Hart,Reed Creek,United States Senator,,R,DAVID A. PERDUE,1018,34,610,374,0
Hart,Bowersville,United States Senator,,R,DAVID A. PERDUE,390,11,304,75,0
Hart,Shoal Creek,United States Senator,,R,DAVID A. PERDUE,455,22,330,103,0
Hart,Bio,United States Senator,,R,DAVID A. PERDUE,406,11,290,105,0
Hart,,United States Senator,,D,M. MICHELLE NUNN,1946,77,1142,727,0
Hart,Hartwell,United States Senator,,D,M. MICHELLE NUNN,882,45,439,398,0
Hart,Goldmine,United States Senator,,D,M. MICHELLE NUNN,152,6,104,42,0
Hart,Cokesbury,United States Senator,,D,M. MICHELLE NUNN,214,5,133,76,0
Hart,Reed Creek,United States Senator,,D,M. MICHELLE NUNN,306,9,180,117,0
Hart,Bowersville,United States Senator,,D,M. MICHELLE NUNN,116,4,89,23,0
Hart,Shoal Creek,United States Senator,,D,M. MICHELLE NUNN,119,6,94,19,0
Hart,Bio,United States Senator,,D,M. MICHELLE NUNN,157,2,103,52,0
Hart,,United States Senator,,L,AMANDA C. SWAFFORD,151,7,97,47,0
Hart,Hartwell,United States Senator,,L,AMANDA C. SWAFFORD,68,5,40,23,0
Hart,Goldmine,United States Senator,,L,AMANDA C. SWAFFORD,7,1,5,1,0
Hart,Cokesbury,United States Senator,,L,AMANDA C. SWAFFORD,5,0,4,1,0
Hart,Reed Creek,United States Senator,,L,AMANDA C. SWAFFORD,29,0,25,4,0
Hart,Bowersville,United States Senator,,L,AMANDA C. SWAFFORD,13,0,8,5,0
Hart,Shoal Creek,United States Senator,,L,AMANDA C. SWAFFORD,11,1,4,6,0
Hart,Bio,United States Senator,,L,AMANDA C. SWAFFORD,18,0,11,7,0
Hart,,Governor,,(R,J. NATHAN DEAL (I),4637,203,2926,1507,1
Hart,Hartwell,Governor,,(R,J. NATHAN DEAL (I),1614,90,828,695,1
