county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Pike,,United States Senator,,R,DAVID A. PERDUE,4458,186,2984,1283,5
Pike,Concord,United States Senator,,R,DAVID A. PERDUE,408,16,291,101,0
Pike,Hollonville,United States Senator,,R,DAVID A. PERDUE,622,20,427,175,0
Pike,Meansville,United States Senator,,R,DAVID A. PERDUE,462,20,319,122,1
Pike,Molena,United States Senator,,R,DAVID A. PERDUE,441,10,320,108,3
Pike,Second District,United States Senator,,R,DAVID A. PERDUE,947,47,595,304,1
Pike,Lifsey Springs,United States Senator,,R,DAVID A. PERDUE,396,22,269,105,0
Pike,Williamson,United States Senator,,R,DAVID A. PERDUE,549,28,383,138,0
Pike,Zebulon,United States Senator,,R,DAVID A. PERDUE,633,23,380,230,0
Pike,,United States Senator,,D,M. MICHELLE NUNN,1036,59,624,350,3
Pike,Concord,United States Senator,,D,M. MICHELLE NUNN,144,6,103,34,1
Pike,Hollonville,United States Senator,,D,M. MICHELLE NUNN,91,7,49,35,0
Pike,Meansville,United States Senator,,D,M. MICHELLE NUNN,94,2,69,23,0
Pike,Molena,United States Senator,,D,M. MICHELLE NUNN,142,5,103,34,0
Pike,Second District,United States Senator,,D,M. MICHELLE NUNN,149,5,87,56,1
Pike,Lifsey Springs,United States Senator,,D,M. MICHELLE NUNN,82,1,49,32,0
Pike,Williamson,United States Senator,,D,M. MICHELLE NUNN,95,2,70,23,0
Pike,Zebulon,United States Senator,,D,M. MICHELLE NUNN,239,31,94,113,1
Pike,,United States Senator,,L,AMANDA C. SWAFFORD,141,2,110,29,0
Pike,Concord,United States Senator,,L,AMANDA C. SWAFFORD,12,1,9,2,0
Pike,Hollonville,United States Senator,,L,AMANDA C. SWAFFORD,20,1,15,4,0
Pike,Meansville,United States Senator,,L,AMANDA C. SWAFFORD,18,0,15,3,0
Pike,Molena,United States Senator,,L,AMANDA C. SWAFFORD,16,0,12,4,0
Pike,Second District,United States Senator,,L,AMANDA C. SWAFFORD,24,0,17,7,0
Pike,Lifsey Springs,United States Senator,,L,AMANDA C. SWAFFORD,13,0,11,2,0
Pike,Williamson,United States Senator,,L,AMANDA C. SWAFFORD,17,0,15,2,0
Pike,Zebulon,United States Senator,,L,AMANDA C. SWAFFORD,21,0,16,5,0
Pike,,Governor,,R,J. NATHAN DEAL (I),4347,188,2902,1254,3
Pike,Concord,Governor,,R,J. NATHAN DEAL (I),408,18,292,98,0
Pike,Hollonville,Governor,,R,J. NATHAN DEAL (I),613,20,419,174,0
Pike,Meansville,Governor,,R,J. NATHAN DEAL (I),459,20,315,124,0
Pike,Molena,Governor,,R,J. NATHAN DEAL (I),404,10,294,98,2
Pike,Second District,Governor,,R,J. NATHAN DEAL (I),915,46,578,290,1
Pike,Lifsey Springs,Governor,,R,J. NATHAN DEAL (I),387,22,257,108,0
Pike,Williamson,Governor,,R,J. NATHAN DEAL (I),549,27,387,135,0
Pike,Zebulon,Governor,,R,J. NATHAN DEAL (I),612,25,360,227,0
Pike,,Governor,,D,JASON J. CARTER,1073,57,665,347,4
Pike,Concord,Governor,,D,JASON J. CARTER,143,5,102,35,1
Pike,Hollonville,Governor,,D,JASON J. CARTER,93,7,54,32,0
Pike,Meansville,Governor,,D,JASON J. CARTER,88,2,65,21,0
Pike,Molena,Governor,,D,JASON J. CARTER,169,5,125,38,1
Pike,Second District,Governor,,D,JASON J. CARTER,156,5,90,60,1
Pike,Lifsey Springs,Governor,,D,JASON J. CARTER,85,1,53,31,0
Pike,Williamson,Governor,,D,JASON J. CARTER,95,3,68,24,0
Pike,Zebulon,Governor,,D,JASON J. CARTER,244,29,108,106,1
Pike,,Governor,,L,ANDREW T. HUNT,178,1,133,43,1
Pike,Concord,Governor,,L,ANDREW T. HUNT,10,0,7,3,0
Pike,Hollonville,Governor,,L,ANDREW T. HUNT,21,1,15,5,0
Pike,Meansville,Governor,,L,ANDREW T. HUNT,21,0,17,3,1
