county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Calhoun,,President,,REP,JEB BUSH,1,0,1,0,0
Calhoun,Leary,President,,REP,JEB BUSH,0,0,0,0,0
Calhoun,Morgan,President,,REP,JEB BUSH,0,0,0,0,0
Calhoun,Edison,President,,REP,JEB BUSH,0,0,0,0,0
Calhoun,Edison-Arlington,President,,REP,JEB BUSH,0,0,0,0,0
Calhoun,Arlington,President,,REP,JEB BUSH,1,0,1,0,0
Calhoun,,President,,REP,BEN CARSON,29,0,25,4,0
Calhoun,Leary,President,,REP,BEN CARSON,12,0,10,2,0
Calhoun,Morgan,President,,REP,BEN CARSON,5,0,3,2,0
Calhoun,Edison,President,,REP,BEN CARSON,2,0,2,0,0
Calhoun,Edison-Arlington,President,,REP,BEN CARSON,5,0,5,0,0
Calhoun,Arlington,President,,REP,BEN CARSON,5,0,5,0,0
Calhoun,,President,,REP,CHRIS CHRISTIE,1,0,1,0,0
Calhoun,Leary,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Calhoun,Morgan,President,,REP,CHRIS CHRISTIE,1,0,1,0,0
Calhoun,Edison,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Calhoun,Edison-Arlington,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Calhoun,Arlington,President,,REP,CHRIS CHRISTIE,0,0,0,0,0
Calhoun,,President,,REP,TED CRUZ,105,1,90,13,1
Calhoun,Leary,President,,REP,TED CRUZ,27,0,24,3,0
Calhoun,Morgan,President,,REP,TED CRUZ,40,1,31,7,1
Calhoun,Edison,President,,REP,TED CRUZ,10,0,10,0,0
Calhoun,Edison-Arlington,President,,REP,TED CRUZ,14,0,13,1,0
Calhoun,Arlington,President,,REP,TED CRUZ,14,0,12,2,0
Calhoun,,President,,REP,CARLY FIORINA,0,0,0,0,0
Calhoun,Leary,President,,REP,CARLY FIORINA,0,0,0,0,0
Calhoun,Morgan,President,,REP,CARLY FIORINA,0,0,0,0,0
Calhoun,Edison,President,,REP,CARLY FIORINA,0,0,0,0,0
Calhoun,Edison-Arlington,President,,REP,CARLY FIORINA,0,0,0,0,0
Calhoun,Arlington,President,,REP,CARLY FIORINA,0,0,0,0,0
Calhoun,,President,,REP,LINDSEY GRAHAM,0,0,0,0,0
Calhoun,Leary,President,,REP,LINDSEY GRAHAM,0,0,0,0,0
Calhoun,Morgan,President,,REP,LINDSEY GRAHAM,0,0,0,0,0
Calhoun,Edison,President,,REP,LINDSEY GRAHAM,0,0,0,0,0
Calhoun,Edison-Arlington,President,,REP,LINDSEY GRAHAM,0,0,0,0,0
Calhoun,Arlington,President,,REP,LINDSEY GRAHAM,0,0,0,0,0
Calhoun,,President,,REP,MIKE HUCKABEE,1,0,1,0,0
Calhoun,Leary,President,,REP,MIKE HUCKABEE,0,0,0,0,0
Calhoun,Morgan,President,,REP,MIKE HUCKABEE,0,0,0,0,0
Calhoun,Edison,President,,REP,MIKE HUCKABEE,0,0,0,0,0
Calhoun,Edison-Arlington,President,,REP,MIKE HUCKABEE,1,0,1,0,0
Calhoun,Arlington,President,,REP,MIKE HUCKABEE,0,0,0,0,0
Calhoun,,President,,REP,JOHN R. KASICH,15,0,12,3,0
Calhoun,Leary,President,,REP,JOHN R. KASICH,2,0,2,0,0
Calhoun,Morgan,President,,REP,JOHN R. KASICH,3,0,2,1,0
Calhoun,Edison,President,,REP,JOHN R. KASICH,1,0,1,0,0
Calhoun,Edison-Arlington,President,,REP,JOHN R. KASICH,7,0,5,2,0
Calhoun,Arlington,President,,REP,JOHN R. KASICH,2,0,2,0,0
Calhoun,,President,,REP,GEORGE PATAKI,0,0,0,0,0
Calhoun,Leary,President,,REP,GEORGE PATAKI,0,0,0,0,0
Calhoun,Morgan,President,,REP,GEORGE PATAKI,0,0,0,0,0
Calhoun,Edison,President,,REP,GEORGE PATAKI,0,0,0,0,0
Calhoun,Edison-Arlington,President,,REP,GEORGE PATAKI,0,0,0,0,0
Calhoun,Arlington,President,,REP,GEORGE PATAKI,0,0,0,0,0
Calhoun,,President,,REP,RAND PAUL,0,0,0,0,0
Calhoun,Leary,President,,REP,RAND PAUL,0,0,0,0,0
Calhoun,Morgan,President,,REP,RAND PAUL,0,0,0,0,0
Calhoun,Edison,President,,REP,RAND PAUL,0,0,0,0,0
Calhoun,Edison-Arlington,President,,REP,RAND PAUL,0,0,0,0,0
Calhoun,Arlington,President,,REP,RAND PAUL,0,0,0,0,0
Calhoun,,President,,REP,MARCO RUBIO,69,2,61,6,0
Calhoun,Leary,President,,REP,MARCO RUBIO,7,0,7,0,0
Calhoun,Morgan,President,,REP,MARCO RUBIO,29,2,23,4,0
Calhoun,Edison,President,,REP,MARCO RUBIO,5,0,5,0,0
Calhoun,Edison-Arlington,President,,REP,MARCO RUBIO,18,0,16,2,0
Calhoun,Arlington,President,,REP,MARCO RUBIO,10,0,10,0,0
Calhoun,,President,,REP,RICK SANTORUM,0,0,0,0,0
Calhoun,Leary,President,,REP,RICK SANTORUM,0,0,0,0,0
Calhoun,Morgan,President,,REP,RICK SANTORUM,0,0,0,0,0
Calhoun,Edison,President,,REP,RICK SANTORUM,0,0,0,0,0
Calhoun,Edison-Arlington,President,,REP,RICK SANTORUM,0,0,0,0,0
Calhoun,Arlington,President,,REP,RICK SANTORUM,0,0,0,0,0
Calhoun,,President,,REP,DONALD J. TRUMP,227,1,200,26,0
Calhoun,Leary,President,,REP,DONALD J. TRUMP,65,0,56,9,0
Calhoun,Morgan,President,,REP,DONALD J. TRUMP,79,1,71,7,0
Calhoun,Edison,President,,REP,DONALD J. TRUMP,10,0,8,2,0
Calhoun,Edison-Arlington,President,,REP,DONALD J. TRUMP,34,0,29,5,0
Calhoun,Arlington,President,,REP,DONALD J. TRUMP,39,0,36,3,0
Calhoun,,President,,DEM,HILLARY CLINTON,499,0,464,35,0
Calhoun,Leary,President,,DEM,HILLARY CLINTON,163,0,158,5,0
Calhoun,Morgan,President,,DEM,HILLARY CLINTON,46,0,36,10,0
Calhoun,Edison,President,,DEM,HILLARY CLINTON,82,0,79,3,0
Calhoun,Edison-Arlington,President,,DEM,HILLARY CLINTON,96,0,85,11,0
Calhoun,Arlington,President,,DEM,HILLARY CLINTON,112,0,106,6,0
Calhoun,,President,,DEM,MARTIN O'MALLEY,0,0,0,0,0
Calhoun,Leary,President,,DEM,MARTIN O'MALLEY,0,0,0,0,0
Calhoun,Morgan,President,,DEM,MARTIN O'MALLEY,0,0,0,0,0
Calhoun,Edison,President,,DEM,MARTIN O'MALLEY,0,0,0,0,0
Calhoun,Edison-Arlington,President,,DEM,MARTIN O'MALLEY,0,0,0,0,0
Calhoun,Arlington,President,,DEM,MARTIN O'MALLEY,0,0,0,0,0
Calhoun,,President,,DEM,BERNIE SANDERS,61,0,53,8,0
Calhoun,Leary,President,,DEM,BERNIE SANDERS,10,0,10,0,0
Calhoun,Morgan,President,,DEM,BERNIE SANDERS,15,0,11,4,0
Calhoun,Edison,President,,DEM,BERNIE SANDERS,10,0,10,0,0
Calhoun,Edison-Arlington,President,,DEM,BERNIE SANDERS,20,0,16,4,0
Calhoun,Arlington,President,,DEM,BERNIE SANDERS,6,0,6,0,0
Calhoun,,President,,DEM,MICHAEL STEINBERG,1,0,1,0,0
Calhoun,Leary,President,,DEM,MICHAEL STEINBERG,0,0,0,0,0
