county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person,provisional
Brantley,,SHERIFF - R,,,L. DAVIS,1772,80,970,721,1
Brantley,Hoboken,SHERIFF - R,,,L. DAVIS,371,12,258,101,0
Brantley,Nahunta,SHERIFF - R,,,L. DAVIS,916,48,394,474,0
Brantley,Waynesville,SHERIFF - R,,,L. DAVIS,485,20,318,146,1
Brantley,,SHERIFF - R,,,R. C. THOMAS,1121,37,690,393,1
Brantley,Hoboken,SHERIFF - R,,,R. C. THOMAS,533,14,386,132,1
Brantley,Nahunta,SHERIFF - R,,,R. C. THOMAS,418,20,188,210,0
Brantley,Waynesville,SHERIFF - R,,,R. C. THOMAS,170,3,116,51,0
Brantley,,CORONER - R,,,W. BLOUNT,1506,54,914,536,2
Brantley,Hoboken,CORONER - R,,,W. BLOUNT,397,6,292,98,1
Brantley,Nahunta,CORONER - R,,,W. BLOUNT,722,38,341,343,0
Brantley,Waynesville,CORONER - R,,,W. BLOUNT,387,10,281,95,1
Brantley,,CORONER - R,,I,R. D. ROWELL,1332,63,725,544,0
Brantley,Hoboken,CORONER - R,,I,R. D. ROWELL,491,20,344,127,0
Brantley,Nahunta,CORONER - R,,I,R. D. ROWELL,593,30,237,326,0
Brantley,Waynesville,CORONER - R,,I,R. D. ROWELL,248,13,144,91,0
Brantley,,CC,P3 - R,,R.  E. DAVISON,2019,85,1085,848,1
Brantley,Hoboken,CC,P3 - R,,R.  E. DAVISON,622,21,429,171,1
Brantley,Nahunta,CC,P3 - R,,R.  E. DAVISON,1047,53,442,552,0
Brantley,Waynesville,CC,P3 - R,,R.  E. DAVISON,350,11,214,125,0
Brantley,,CC,P3 - R,I,M. E. EDGY,825,32,539,253,1
Brantley,Hoboken,CC,P3 - R,I,M. E. EDGY,254,5,194,55,0
Brantley,Nahunta,CC,P3 - R,I,M. E. EDGY,268,15,127,126,0
Brantley,Waynesville,CC,P3 - R,I,M. E. EDGY,303,12,218,72,1
