county,precinct,office,district,party,candidate,votes
Jones,GRAY,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",141
Jones,HAWKINS,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",84
Jones,ETHRIDGE,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",97
Jones,CLINTON,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",148
Jones,ROBERTS,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",106
Jones,DAVIDSON,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",89
Jones,POPE,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",53
Jones,BARRON,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",79
Jones,SANDERS,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",10
Jones,FINNEY,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",150
Jones,GRAY,Governor,,REP,HUNTER HILL  (REP),52
Jones,HAWKINS,Governor,,REP,HUNTER HILL  (REP),38
Jones,ETHRIDGE,Governor,,REP,HUNTER HILL  (REP),32
Jones,CLINTON,Governor,,REP,HUNTER HILL  (REP),48
Jones,ROBERTS,Governor,,REP,HUNTER HILL  (REP),34
Jones,DAVIDSON,Governor,,REP,HUNTER HILL  (REP),35
Jones,POPE,Governor,,REP,HUNTER HILL  (REP),42
Jones,BARRON,Governor,,REP,HUNTER HILL  (REP),30
Jones,SANDERS,Governor,,REP,HUNTER HILL  (REP),5
Jones,FINNEY,Governor,,REP,HUNTER HILL  (REP),82
Jones,GRAY,Governor,,REP,BRIAN KEMP  (REP),76
Jones,HAWKINS,Governor,,REP,BRIAN KEMP  (REP),41
Jones,ETHRIDGE,Governor,,REP,BRIAN KEMP  (REP),46
Jones,CLINTON,Governor,,REP,BRIAN KEMP  (REP),69
Jones,ROBERTS,Governor,,REP,BRIAN KEMP  (REP),72
Jones,DAVIDSON,Governor,,REP,BRIAN KEMP  (REP),63
Jones,POPE,Governor,,REP,BRIAN KEMP  (REP),79
Jones,BARRON,Governor,,REP,BRIAN KEMP  (REP),84
Jones,SANDERS,Governor,,REP,BRIAN KEMP  (REP),6
Jones,FINNEY,Governor,,REP,BRIAN KEMP  (REP),126
Jones,GRAY,Governor,,REP,CLAY TIPPINS  (REP),47
Jones,HAWKINS,Governor,,REP,CLAY TIPPINS  (REP),30
Jones,ETHRIDGE,Governor,,REP,CLAY TIPPINS  (REP),20
Jones,CLINTON,Governor,,REP,CLAY TIPPINS  (REP),42
Jones,ROBERTS,Governor,,REP,CLAY TIPPINS  (REP),27
Jones,DAVIDSON,Governor,,REP,CLAY TIPPINS  (REP),25
Jones,POPE,Governor,,REP,CLAY TIPPINS  (REP),15
Jones,BARRON,Governor,,REP,CLAY TIPPINS  (REP),21
Jones,SANDERS,Governor,,REP,CLAY TIPPINS  (REP),20
Jones,FINNEY,Governor,,REP,CLAY TIPPINS  (REP),76
Jones,GRAY,Governor,,REP,MICHAEL WILLIAMS  (REP),17
Jones,HAWKINS,Governor,,REP,MICHAEL WILLIAMS  (REP),9
Jones,ETHRIDGE,Governor,,REP,MICHAEL WILLIAMS  (REP),8
Jones,CLINTON,Governor,,REP,MICHAEL WILLIAMS  (REP),10
Jones,ROBERTS,Governor,,REP,MICHAEL WILLIAMS  (REP),14
Jones,DAVIDSON,Governor,,REP,MICHAEL WILLIAMS  (REP),9
Jones,POPE,Governor,,REP,MICHAEL WILLIAMS  (REP),6
Jones,BARRON,Governor,,REP,MICHAEL WILLIAMS  (REP),2
Jones,SANDERS,Governor,,REP,MICHAEL WILLIAMS  (REP),1
Jones,FINNEY,Governor,,REP,MICHAEL WILLIAMS  (REP),8
Jones,GRAY,Governor,,DEM,STACEY ABRAMS  (DEM),95
Jones,HAWKINS,Governor,,DEM,STACEY ABRAMS  (DEM),315
Jones,ETHRIDGE,Governor,,DEM,STACEY ABRAMS  (DEM),105
Jones,CLINTON,Governor,,DEM,STACEY ABRAMS  (DEM),94
Jones,ROBERTS,Governor,,DEM,STACEY ABRAMS  (DEM),132
Jones,DAVIDSON,Governor,,DEM,STACEY ABRAMS  (DEM),42
Jones,POPE,Governor,,DEM,STACEY ABRAMS  (DEM),118
Jones,BARRON,Governor,,DEM,STACEY ABRAMS  (DEM),62
Jones,SANDERS,Governor,,DEM,STACEY ABRAMS  (DEM),4
Jones,FINNEY,Governor,,DEM,STACEY ABRAMS  (DEM),99
Jones,GRAY,Governor,,DEM,STACEY EVANS  (DEM),51
Jones,HAWKINS,Governor,,DEM,STACEY EVANS  (DEM),100
Jones,ETHRIDGE,Governor,,DEM,STACEY EVANS  (DEM),26
Jones,CLINTON,Governor,,DEM,STACEY EVANS  (DEM),30
Jones,ROBERTS,Governor,,DEM,STACEY EVANS  (DEM),42
Jones,DAVIDSON,Governor,,DEM,STACEY EVANS  (DEM),26
Jones,POPE,Governor,,DEM,STACEY EVANS  (DEM),32
Jones,BARRON,Governor,,DEM,STACEY EVANS  (DEM),15
Jones,SANDERS,Governor,,DEM,STACEY EVANS  (DEM),6
Jones,FINNEY,Governor,,DEM,STACEY EVANS  (DEM),47
Jones,GRAY,Lieutenant Governor,,REP,GEOFF DUNCAN  (REP),70
Jones,HAWKINS,Lieutenant Governor,,REP,GEOFF DUNCAN  (REP),38
Jones,ETHRIDGE,Lieutenant Governor,,REP,GEOFF DUNCAN  (REP),68
Jones,CLINTON,Lieutenant Governor,,REP,GEOFF DUNCAN  (REP),84
Jones,ROBERTS,Lieutenant Governor,,REP,GEOFF DUNCAN  (REP),63
Jones,DAVIDSON,Lieutenant Governor,,REP,GEOFF DUNCAN  (REP),54
Jones,POPE,Lieutenant Governor,,REP,GEOFF DUNCAN  (REP),36
Jones,BARRON,Lieutenant Governor,,REP,GEOFF DUNCAN  (REP),38
Jones,SANDERS,Lieutenant Governor,,REP,GEOFF DUNCAN  (REP),12
Jones,FINNEY,Lieutenant Governor,,REP,GEOFF DUNCAN  (REP),108
Jones,GRAY,Lieutenant Governor,,REP,RICK JEFFARES  (REP),105
Jones,HAWKINS,Lieutenant Governor,,REP,RICK JEFFARES  (REP),53
Jones,ETHRIDGE,Lieutenant Governor,,REP,RICK JEFFARES  (REP),49
Jones,CLINTON,Lieutenant Governor,,REP,RICK JEFFARES  (REP),86
Jones,ROBERTS,Lieutenant Governor,,REP,RICK JEFFARES  (REP),51
Jones,DAVIDSON,Lieutenant Governor,,REP,RICK JEFFARES  (REP),58
Jones,POPE,Lieutenant Governor,,REP,RICK JEFFARES  (REP),66
Jones,BARRON,Lieutenant Governor,,REP,RICK JEFFARES  (REP),51
Jones,SANDERS,Lieutenant Governor,,REP,RICK JEFFARES  (REP),12
Jones,FINNEY,Lieutenant Governor,,REP,RICK JEFFARES  (REP),98
Jones,GRAY,Lieutenant Governor,,REP,DAVID SHAFER  (REP),130
Jones,HAWKINS,Lieutenant Governor,,REP,DAVID SHAFER  (REP),86
Jones,ETHRIDGE,Lieutenant Governor,,REP,DAVID SHAFER  (REP),72
Jones,CLINTON,Lieutenant Governor,,REP,DAVID SHAFER  (REP),126
Jones,ROBERTS,Lieutenant Governor,,REP,DAVID SHAFER  (REP),123
Jones,DAVIDSON,Lieutenant Governor,,REP,DAVID SHAFER  (REP),93
Jones,POPE,Lieutenant Governor,,REP,DAVID SHAFER  (REP),70
Jones,BARRON,Lieutenant Governor,,REP,DAVID SHAFER  (REP),106
Jones,SANDERS,Lieutenant Governor,,REP,DAVID SHAFER  (REP),17
Jones,FINNEY,Lieutenant Governor,,REP,DAVID SHAFER  (REP),195
Jones,GRAY,Lieutenant Governor,,DEM,SARAH RIGGS AMICO (DEM),69
Jones,HAWKINS,Lieutenant Governor,,DEM,SARAH RIGGS AMICO (DEM),213
Jones,ETHRIDGE,Lieutenant Governor,,DEM,SARAH RIGGS AMICO (DEM),67
Jones,CLINTON,Lieutenant Governor,,DEM,SARAH RIGGS AMICO (DEM),67
Jones,ROBERTS,Lieutenant Governor,,DEM,SARAH RIGGS AMICO (DEM),90
Jones,DAVIDSON,Lieutenant Governor,,DEM,SARAH RIGGS AMICO (DEM),43
Jones,POPE,Lieutenant Governor,,DEM,SARAH RIGGS AMICO (DEM),65
Jones,BARRON,Lieutenant Governor,,DEM,SARAH RIGGS AMICO (DEM),34
Jones,SANDERS,Lieutenant Governor,,DEM,SARAH RIGGS AMICO (DEM),5
Jones,FINNEY,Lieutenant Governor,,DEM,SARAH RIGGS AMICO (DEM),80
Jones,GRAY,Lieutenant Governor,,DEM,TRIANA ARNOLD JAMES (DEM),68
Jones,HAWKINS,Lieutenant Governor,,DEM,TRIANA ARNOLD JAMES (DEM),172
Jones,ETHRIDGE,Lieutenant Governor,,DEM,TRIANA ARNOLD JAMES (DEM),50
Jones,CLINTON,Lieutenant Governor,,DEM,TRIANA ARNOLD JAMES (DEM),48
Jones,ROBERTS,Lieutenant Governor,,DEM,TRIANA ARNOLD JAMES (DEM),76
Jones,DAVIDSON,Lieutenant Governor,,DEM,TRIANA ARNOLD JAMES (DEM),22
Jones,POPE,Lieutenant Governor,,DEM,TRIANA ARNOLD JAMES (DEM),72
Jones,BARRON,Lieutenant Governor,,DEM,TRIANA ARNOLD JAMES (DEM),33
Jones,SANDERS,Lieutenant Governor,,DEM,TRIANA ARNOLD JAMES (DEM),5
Jones,FINNEY,Lieutenant Governor,,DEM,TRIANA ARNOLD JAMES (DEM),55
Jones,GRAY,Secretary Of State,,REP,DAVID BELLE ISLE  (REP),75
Jones,HAWKINS,Secretary Of State,,REP,DAVID BELLE ISLE  (REP),57
Jones,ETHRIDGE,Secretary Of State,,REP,DAVID BELLE ISLE  (REP),59
Jones,CLINTON,Secretary Of State,,REP,DAVID BELLE ISLE  (REP),89
Jones,ROBERTS,Secretary Of State,,REP,DAVID BELLE ISLE  (REP),83
Jones,DAVIDSON,Secretary Of State,,REP,DAVID BELLE ISLE  (REP),63
