county,precinct,office,district,party,candidate,votes
Pierce,Hacklebarney/Cason,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",183
Pierce,Blackshear,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",164
Pierce,St Johns/Blackshear,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",96
Pierce,Otter Creek,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",96
Pierce,Patterson,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",89
Pierce,Mershon,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",49
Pierce,Alabaha,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",71
Pierce,Sunset/Sweat,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",15
Pierce,Hacklebarney/Cason,Governor,,REP,HUNTER HILL  (REP),108
Pierce,Blackshear,Governor,,REP,HUNTER HILL  (REP),143
Pierce,St Johns/Blackshear,Governor,,REP,HUNTER HILL  (REP),82
Pierce,Otter Creek,Governor,,REP,HUNTER HILL  (REP),63
Pierce,Patterson,Governor,,REP,HUNTER HILL  (REP),44
Pierce,Mershon,Governor,,REP,HUNTER HILL  (REP),16
Pierce,Alabaha,Governor,,REP,HUNTER HILL  (REP),55
Pierce,Sunset/Sweat,Governor,,REP,HUNTER HILL  (REP),11
Pierce,Hacklebarney/Cason,Governor,,REP,BRIAN KEMP  (REP),171
Pierce,Blackshear,Governor,,REP,BRIAN KEMP  (REP),166
Pierce,St Johns/Blackshear,Governor,,REP,BRIAN KEMP  (REP),110
Pierce,Otter Creek,Governor,,REP,BRIAN KEMP  (REP),103
Pierce,Patterson,Governor,,REP,BRIAN KEMP  (REP),94
Pierce,Mershon,Governor,,REP,BRIAN KEMP  (REP),52
Pierce,Alabaha,Governor,,REP,BRIAN KEMP  (REP),76
Pierce,Sunset/Sweat,Governor,,REP,BRIAN KEMP  (REP),47
Pierce,Hacklebarney/Cason,Governor,,REP,CLAY TIPPINS  (REP),68
Pierce,Blackshear,Governor,,REP,CLAY TIPPINS  (REP),72
