county,precinct,office,district,party,candidate,votes
Brantley,Hoboken,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",83
Brantley,Nahunta,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",90
Brantley,Waynesville,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",72
Brantley,Hoboken,Governor,,REP,BRIAN KEMP (REP),249
Brantley,Nahunta,Governor,,REP,BRIAN KEMP (REP),259
Brantley,Waynesville,Governor,,REP,BRIAN KEMP (REP),188
Brantley,Hoboken,Lieutenant Governor,,REP,GEOFF DUNCAN (REP),168
Brantley,Nahunta,Lieutenant Governor,,REP,GEOFF DUNCAN (REP),163
Brantley,Waynesville,Lieutenant Governor,,REP,GEOFF DUNCAN (REP),112
Brantley,Hoboken,Lieutenant Governor,,REP,DAVID SHAFER (REP),152
Brantley,Nahunta,Lieutenant Governor,,REP,DAVID SHAFER (REP),160
Brantley,Waynesville,Lieutenant Governor,,REP,DAVID SHAFER (REP),133
Brantley,Hoboken,Secretary Of State,,REP,DAVID BELLE ISLE (REP),196
Brantley,Nahunta,Secretary Of State,,REP,DAVID BELLE ISLE (REP),206
Brantley,Waynesville,Secretary Of State,,REP,DAVID BELLE ISLE (REP),136
Brantley,Hoboken,Secretary Of State,,REP,BRAD RAFFENSPERGER (REP),95
Brantley,Nahunta,Secretary Of State,,REP,BRAD RAFFENSPERGER (REP),98
Brantley,Waynesville,Secretary Of State,,REP,BRAD RAFFENSPERGER (REP),99
Brantley,Hoboken,State School Superintendent,,DEM,SID CHAPMAN (DEM),4
Brantley,Nahunta,State School Superintendent,,DEM,SID CHAPMAN (DEM),8
Brantley,Waynesville,State School Superintendent,,DEM,SID CHAPMAN (DEM),5
Brantley,Hoboken,State School Superintendent,,DEM,"OTHA E. THORNTON, JR (DEM)",2
Brantley,Nahunta,State School Superintendent,,DEM,"OTHA E. THORNTON, JR (DEM)",7
Brantley,Waynesville,State School Superintendent,,DEM,"OTHA E. THORNTON, JR (DEM)",4
