county,precinct,office,district,party,candidate,votes
Coweta,SENOIA,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",110
Coweta,MORELAND,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",96
Coweta,PINE ROAD,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",58
Coweta,DRESDEN,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",44
Coweta,NEWNAN,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",81
Coweta,SHARPSBURG,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",159
Coweta,FISCHER ROAD,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",110
Coweta,CEDAR CREEK,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",176
Coweta,GRANTVILLE,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",57
Coweta,HARALSON,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",43
Coweta,WELCOME,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",115
Coweta,PANTHER CREEK,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",82
Coweta,RAYMOND,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",85
Coweta,TURIN,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",111
Coweta,SMOKEY ROAD,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",43
Coweta,CENTRAL,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",23
Coweta,ARTS CENTRE,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",375
Coweta,GREENTOP,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",111
Coweta,EXPO CENTER,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",118
Coweta,WHITE OAK,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",139
Coweta,MADRAS,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",79
Coweta,CANNONGATE,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",148
Coweta,WESTSIDE,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",13
Coweta,NORTHSIDE,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",119
Coweta,THOMAS CROSSROADS,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",145
Coweta,COWETA CENTRAL LIBRARY,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",73
Coweta,JEFFERSON PARKWAY,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",77
Coweta,SENOIA,Governor,,REP,BRIAN KEMP (REP),490
Coweta,MORELAND,Governor,,REP,BRIAN KEMP (REP),282
Coweta,PINE ROAD,Governor,,REP,BRIAN KEMP (REP),208
Coweta,DRESDEN,Governor,,REP,BRIAN KEMP (REP),107
Coweta,NEWNAN,Governor,,REP,BRIAN KEMP (REP),121
