county,precinct,office,district,party,candidate,votes
Pike,Concord,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",40
Pike,Hollonville,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",59
Pike,Meansville,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",50
Pike,Molena,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",52
Pike,Second District,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",100
Pike,Lifsey Springs,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",46
Pike,Williamson,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",59
Pike,Zebulon,Governor,,REP,"L.S. ""CASEY"" CAGLE (REP)",73
Pike,Concord,Governor,,REP,BRIAN KEMP (REP),170
Pike,Hollonville,Governor,,REP,BRIAN KEMP (REP),220
Pike,Meansville,Governor,,REP,BRIAN KEMP (REP),165
Pike,Molena,Governor,,REP,BRIAN KEMP (REP),149
Pike,Second District,Governor,,REP,BRIAN KEMP (REP),346
Pike,Lifsey Springs,Governor,,REP,BRIAN KEMP (REP),157
Pike,Williamson,Governor,,REP,BRIAN KEMP (REP),240
Pike,Zebulon,Governor,,REP,BRIAN KEMP (REP),192
Pike,Concord,Lieutenant Governor,,REP,GEOFF DUNCAN (REP),95
Pike,Hollonville,Lieutenant Governor,,REP,GEOFF DUNCAN (REP),109
Pike,Meansville,Lieutenant Governor,,REP,GEOFF DUNCAN (REP),122
Pike,Molena,Lieutenant Governor,,REP,GEOFF DUNCAN (REP),119
Pike,Second District,Lieutenant Governor,,REP,GEOFF DUNCAN (REP),225
Pike,Lifsey Springs,Lieutenant Governor,,REP,GEOFF DUNCAN (REP),116
Pike,Williamson,Lieutenant Governor,,REP,GEOFF DUNCAN (REP),153
Pike,Zebulon,Lieutenant Governor,,REP,GEOFF DUNCAN (REP),130
Pike,Concord,Lieutenant Governor,,REP,DAVID SHAFER (REP),110
Pike,Hollonville,Lieutenant Governor,,REP,DAVID SHAFER (REP),161
Pike,Meansville,Lieutenant Governor,,REP,DAVID SHAFER (REP),85
Pike,Molena,Lieutenant Governor,,REP,DAVID SHAFER (REP),75
Pike,Second District,Lieutenant Governor,,REP,DAVID SHAFER (REP),197
Pike,Lifsey Springs,Lieutenant Governor,,REP,DAVID SHAFER (REP),86
Pike,Williamson,Lieutenant Governor,,REP,DAVID SHAFER (REP),128
Pike,Zebulon,Lieutenant Governor,,REP,DAVID SHAFER (REP),128
Pike,Concord,Secretary Of State,,REP,DAVID BELLE ISLE (REP),66
Pike,Hollonville,Secretary Of State,,REP,DAVID BELLE ISLE (REP),90
Pike,Meansville,Secretary Of State,,REP,DAVID BELLE ISLE (REP),52
Pike,Molena,Secretary Of State,,REP,DAVID BELLE ISLE (REP),70
Pike,Second District,Secretary Of State,,REP,DAVID BELLE ISLE (REP),118
Pike,Lifsey Springs,Secretary Of State,,REP,DAVID BELLE ISLE (REP),80
Pike,Williamson,Secretary Of State,,REP,DAVID BELLE ISLE (REP),82
Pike,Zebulon,Secretary Of State,,REP,DAVID BELLE ISLE (REP),94
Pike,Concord,Secretary Of State,,REP,BRAD RAFFENSPERGER (REP),131
Pike,Hollonville,Secretary Of State,,REP,BRAD RAFFENSPERGER (REP),164
Pike,Meansville,Secretary Of State,,REP,BRAD RAFFENSPERGER (REP),139
Pike,Molena,Secretary Of State,,REP,BRAD RAFFENSPERGER (REP),120
Pike,Second District,Secretary Of State,,REP,BRAD RAFFENSPERGER (REP),283
Pike,Lifsey Springs,Secretary Of State,,REP,BRAD RAFFENSPERGER (REP),118
Pike,Williamson,Secretary Of State,,REP,BRAD RAFFENSPERGER (REP),200
Pike,Zebulon,Secretary Of State,,REP,BRAD RAFFENSPERGER (REP),159
Pike,Concord,State School Superintendent,,DEM,SID CHAPMAN (DEM),15
Pike,Hollonville,State School Superintendent,,DEM,SID CHAPMAN (DEM),2
Pike,Meansville,State School Superintendent,,DEM,SID CHAPMAN (DEM),6
Pike,Molena,State School Superintendent,,DEM,SID CHAPMAN (DEM),0
Pike,Second District,State School Superintendent,,DEM,SID CHAPMAN (DEM),6
Pike,Lifsey Springs,State School Superintendent,,DEM,SID CHAPMAN (DEM),3
Pike,Williamson,State School Superintendent,,DEM,SID CHAPMAN (DEM),6
Pike,Zebulon,State School Superintendent,,DEM,SID CHAPMAN (DEM),16
Pike,Concord,State School Superintendent,,DEM,"OTHA E. THORNTON, JR (DEM)",2
Pike,Hollonville,State School Superintendent,,DEM,"OTHA E. THORNTON, JR (DEM)",1
Pike,Meansville,State School Superintendent,,DEM,"OTHA E. THORNTON, JR (DEM)",3
Pike,Molena,State School Superintendent,,DEM,"OTHA E. THORNTON, JR (DEM)",5
Pike,Second District,State School Superintendent,,DEM,"OTHA E. THORNTON, JR (DEM)",7
Pike,Lifsey Springs,State School Superintendent,,DEM,"OTHA E. THORNTON, JR (DEM)",2
Pike,Williamson,State School Superintendent,,DEM,"OTHA E. THORNTON, JR (DEM)",0
Pike,Zebulon,State School Superintendent,,DEM,"OTHA E. THORNTON, JR (DEM)",23
