county,precinct,office,district,party,candidate,votes
Crisp,Arabi,Governor,,REP,BRIAN KEMP,378
Crisp,Coney,Governor,,REP,BRIAN KEMP,568
Crisp,Cordele,Governor,,REP,BRIAN KEMP,2262
Crisp,Jamestown,Governor,,REP,BRIAN KEMP,756
Crisp,Listonia,Governor,,REP,BRIAN KEMP,481
Crisp,Arabi,Governor,,DEM,STACEY ABRAMS,78
Crisp,Coney,Governor,,DEM,STACEY ABRAMS,50
Crisp,Cordele,Governor,,DEM,STACEY ABRAMS,2365
Crisp,Jamestown,Governor,,DEM,STACEY ABRAMS,64
Crisp,Listonia,Governor,,DEM,STACEY ABRAMS,20
Crisp,Arabi,Governor,,LIB,TED METZ,1
Crisp,Coney,Governor,,LIB,TED METZ,5
Crisp,Cordele,Governor,,LIB,TED METZ,18
Crisp,Jamestown,Governor,,LIB,TED METZ,3
Crisp,Listonia,Governor,,LIB,TED METZ,1
Crisp,Arabi,Lieutenant Governor,,REP,GEOFF DUNCAN,369
Crisp,Coney,Lieutenant Governor,,REP,GEOFF DUNCAN,556
Crisp,Cordele,Lieutenant Governor,,REP,GEOFF DUNCAN,2226
Crisp,Jamestown,Lieutenant Governor,,REP,GEOFF DUNCAN,742
Crisp,Listonia,Lieutenant Governor,,REP,GEOFF DUNCAN,457
Crisp,Arabi,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,73
Crisp,Coney,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,50
Crisp,Cordele,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,2056
Crisp,Jamestown,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,65
Crisp,Listonia,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,20
Crisp,Arabi,Secretary Of State,,REP,BRAD RAFFENSPERGER,361
Crisp,Coney,Secretary Of State,,REP,BRAD RAFFENSPERGER,537
Crisp,Cordele,Secretary Of State,,REP,BRAD RAFFENSPERGER,2154
Crisp,Jamestown,Secretary Of State,,REP,BRAD RAFFENSPERGER,725
Crisp,Listonia,Secretary Of State,,REP,BRAD RAFFENSPERGER,457
Crisp,Arabi,Secretary Of State,,DEM,JOHN BARROW,84
