county,precinct,office,district,party,candidate,votes
Muscogee,WYNNTON/BRITT,Governor,,REP,BRIAN KEMP,588
Muscogee,CARVER/MACK,Governor,,REP,BRIAN KEMP,52
Muscogee,ST JOHN/BELVEDERE,Governor,,REP,BRIAN KEMP,138
Muscogee,BRITT DAVID BAPT CH,Governor,,REP,BRIAN KEMP,844
Muscogee,ST PETER U. M. C.,Governor,,REP,BRIAN KEMP,1235
Muscogee,CORNERSTONE CHURCH,Governor,,REP,BRIAN KEMP,1986
Muscogee,COLUMBUS TECH,Governor,,REP,BRIAN KEMP,848
Muscogee,ST. MARK/HEIFERHORN,Governor,,REP,BRIAN KEMP,2810
Muscogee,WYNNBROOK,Governor,,REP,BRIAN KEMP,1378
Muscogee,CUSSETA RD,Governor,,REP,BRIAN KEMP,90
Muscogee,OUR LADY OF LOURDES,Governor,,REP,BRIAN KEMP,434
Muscogee,MT. PILGRIM,Governor,,REP,BRIAN KEMP,105
Muscogee,FAITH TABERNACLE,Governor,,REP,BRIAN KEMP,149
Muscogee,FORT/WADDELL,Governor,,REP,BRIAN KEMP,433
Muscogee,ROTHSCHILD,Governor,,REP,BRIAN KEMP,383
Muscogee,GENTIAN/REESE @LDS,Governor,,REP,BRIAN KEMP,1437
Muscogee,ST PAUL/CLUBVIEW,Governor,,REP,BRIAN KEMP,1945
Muscogee,MOON/MORNINGSIDE,Governor,,REP,BRIAN KEMP,1803
Muscogee,ST. ANDREWS/MIDLAND,Governor,,REP,BRIAN KEMP,2427
Muscogee,SALVATION ARMY,Governor,,REP,BRIAN KEMP,819
Muscogee,FIRST AFRICAN,Governor,,REP,BRIAN KEMP,196
Muscogee,EPWORTH,Governor,,REP,BRIAN KEMP,1120
Muscogee,MARIANNA GALLOPS,Governor,,REP,BRIAN KEMP,277
Muscogee,EDGEWOOD BAPTIST,Governor,,REP,BRIAN KEMP,541
Muscogee,PSALMOND/MATHEWS,Governor,,REP,BRIAN KEMP,2310
Muscogee,WYNNTON/BRITT,Governor,,DEM,STACEY ABRAMS,1867
Muscogee,CARVER/MACK,Governor,,DEM,STACEY ABRAMS,2007
Muscogee,ST JOHN/BELVEDERE,Governor,,DEM,STACEY ABRAMS,2724
Muscogee,BRITT DAVID BAPT CH,Governor,,DEM,STACEY ABRAMS,462
Muscogee,ST PETER U. M. C.,Governor,,DEM,STACEY ABRAMS,625
Muscogee,CORNERSTONE CHURCH,Governor,,DEM,STACEY ABRAMS,1200
Muscogee,COLUMBUS TECH,Governor,,DEM,STACEY ABRAMS,691
Muscogee,ST. MARK/HEIFERHORN,Governor,,DEM,STACEY ABRAMS,1115
Muscogee,WYNNBROOK,Governor,,DEM,STACEY ABRAMS,493
Muscogee,CUSSETA RD,Governor,,DEM,STACEY ABRAMS,2078
Muscogee,OUR LADY OF LOURDES,Governor,,DEM,STACEY ABRAMS,2854
Muscogee,MT. PILGRIM,Governor,,DEM,STACEY ABRAMS,2937
Muscogee,FAITH TABERNACLE,Governor,,DEM,STACEY ABRAMS,2090
Muscogee,FORT/WADDELL,Governor,,DEM,STACEY ABRAMS,2715
Muscogee,ROTHSCHILD,Governor,,DEM,STACEY ABRAMS,3096
Muscogee,GENTIAN/REESE @LDS,Governor,,DEM,STACEY ABRAMS,1428
Muscogee,ST PAUL/CLUBVIEW,Governor,,DEM,STACEY ABRAMS,1274
Muscogee,MOON/MORNINGSIDE,Governor,,DEM,STACEY ABRAMS,965
Muscogee,ST. ANDREWS/MIDLAND,Governor,,DEM,STACEY ABRAMS,1847
Muscogee,SALVATION ARMY,Governor,,DEM,STACEY ABRAMS,857
Muscogee,FIRST AFRICAN,Governor,,DEM,STACEY ABRAMS,551
Muscogee,EPWORTH,Governor,,DEM,STACEY ABRAMS,790
Muscogee,MARIANNA GALLOPS,Governor,,DEM,STACEY ABRAMS,786
