county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,provisional,advance_in_person
Richmond,101,Governor,,REP,BRIAN KEMP,249,22,160,0,67
Richmond,102,Governor,,REP,BRIAN KEMP,161,17,97,1,46
Richmond,103,Governor,,REP,BRIAN KEMP,20,3,10,0,7
Richmond,104,Governor,,REP,BRIAN KEMP,73,12,29,0,32
Richmond,105,Governor,,REP,BRIAN KEMP,14,0,11,0,3
Richmond,106,Governor,,REP,BRIAN KEMP,106,4,72,0,30
Richmond,107,Governor,,REP,BRIAN KEMP,539,31,337,0,171
Richmond,108,Governor,,REP,BRIAN KEMP,24,1,22,0,1
Richmond,109,Governor,,REP,BRIAN KEMP,92,4,55,0,33
Richmond,111,Governor,,REP,BRIAN KEMP,109,8,60,0,41
Richmond,112,Governor,,REP,BRIAN KEMP,139,37,35,0,67
Richmond,114,Governor,,REP,BRIAN KEMP,35,5,19,0,11
Richmond,115,Governor,,REP,BRIAN KEMP,86,2,71,0,13
Richmond,201,Governor,,REP,BRIAN KEMP,15,1,9,0,5
Richmond,202,Governor,,REP,BRIAN KEMP,562,41,355,0,166
Richmond,203,Governor,,REP,BRIAN KEMP,5,0,4,0,1
Richmond,204,Governor,,REP,BRIAN KEMP,426,22,288,0,116
Richmond,207,Governor,,REP,BRIAN KEMP,107,8,68,0,31
Richmond,208,Governor,,REP,BRIAN KEMP,174,12,122,1,39
Richmond,210,Governor,,REP,BRIAN KEMP,100,10,54,0,36
Richmond,301,Governor,,REP,BRIAN KEMP,1108,54,623,0,431
Richmond,302,Governor,,REP,BRIAN KEMP,121,12,58,0,51
Richmond,303,Governor,,REP,BRIAN KEMP,750,46,389,0,315
Richmond,304,Governor,,REP,BRIAN KEMP,143,5,104,0,34
Richmond,305,Governor,,REP,BRIAN KEMP,279,10,130,1,138
Richmond,306,Governor,,REP,BRIAN KEMP,704,59,359,1,285
Richmond,307,Governor,,REP,BRIAN KEMP,650,31,371,1,247
Richmond,308,Governor,,REP,BRIAN KEMP,119,9,63,0,47
Richmond,309,Governor,,REP,BRIAN KEMP,180,17,107,1,55
Richmond,310,Governor,,REP,BRIAN KEMP,493,23,308,0,162
Richmond,401,Governor,,REP,BRIAN KEMP,58,4,35,0,19
Richmond,402,Governor,,REP,BRIAN KEMP,115,9,74,0,32
Richmond,404,Governor,,REP,BRIAN KEMP,100,8,49,0,43
Richmond,405,Governor,,REP,BRIAN KEMP,171,5,75,2,89
Richmond,406,Governor,,REP,BRIAN KEMP,121,7,62,0,52
Richmond,501,Governor,,REP,BRIAN KEMP,172,13,93,0,66
Richmond,502,Governor,,REP,BRIAN KEMP,139,12,73,0,54
Richmond,503,Governor,,REP,BRIAN KEMP,284,16,136,0,132
Richmond,504,Governor,,REP,BRIAN KEMP,280,15,184,0,81
Richmond,506,Governor,,REP,BRIAN KEMP,55,1,29,0,25
Richmond,507,Governor,,REP,BRIAN KEMP,104,4,55,0,45
Richmond,509,Governor,,REP,BRIAN KEMP,137,8,70,0,59
Richmond,601,Governor,,REP,BRIAN KEMP,390,20,231,2,137
Richmond,603,Governor,,REP,BRIAN KEMP,909,45,610,1,253
Richmond,604,Governor,,REP,BRIAN KEMP,269,10,200,0,59
Richmond,605,Governor,,REP,BRIAN KEMP,619,35,409,0,175
Richmond,607,Governor,,REP,BRIAN KEMP,43,2,28,0,13
Richmond,608,Governor,,REP,BRIAN KEMP,520,24,359,0,137
Richmond,701,Governor,,REP,BRIAN KEMP,1010,37,590,0,383
Richmond,702,Governor,,REP,BRIAN KEMP,758,29,471,1,257
Richmond,703,Governor,,REP,BRIAN KEMP,1040,52,604,0,384
Richmond,705,Governor,,REP,BRIAN KEMP,821,51,412,1,357
Richmond,706,Governor,,REP,BRIAN KEMP,1294,53,445,0,796
Richmond,707,Governor,,REP,BRIAN KEMP,416,28,219,0,169
Richmond,708,Governor,,REP,BRIAN KEMP,136,7,46,0,83
Richmond,709,Governor,,REP,BRIAN KEMP,187,5,96,0,86
Richmond,801,Governor,,REP,BRIAN KEMP,196,2,173,1,20
Richmond,801B,Governor,,REP,BRIAN KEMP,216,13,180,1,22
Richmond,802,Governor,,REP,BRIAN KEMP,1031,38,816,0,177
Richmond,803,Governor,,REP,BRIAN KEMP,0,0,0,0,0
Richmond,804,Governor,,REP,BRIAN KEMP,424,16,268,0,140
Richmond,804H,Governor,,REP,BRIAN KEMP,864,49,618,0,197
Richmond,805,Governor,,REP,BRIAN KEMP,128,3,85,0,40
Richmond,806,Governor,,REP,BRIAN KEMP,426,10,308,0,108
Richmond,807,Governor,,REP,BRIAN KEMP,169,9,100,2,58
Richmond,808,Governor,,REP,BRIAN KEMP,722,24,492,1,205
Richmond,809,Governor,,REP,BRIAN KEMP,22,0,11,0,11
Richmond,810,Governor,,REP,BRIAN KEMP,147,4,82,0,61
Richmond,101,Governor,,DEM,STACEY ABRAMS,276,17,169,1,89
Richmond,102,Governor,,DEM,STACEY ABRAMS,513,74,282,0,157
Richmond,103,Governor,,DEM,STACEY ABRAMS,655,100,300,1,254
Richmond,104,Governor,,DEM,STACEY ABRAMS,1324,165,694,3,462
Richmond,105,Governor,,DEM,STACEY ABRAMS,359,40,186,1,132
Richmond,106,Governor,,DEM,STACEY ABRAMS,313,34,208,1,70
Richmond,107,Governor,,DEM,STACEY ABRAMS,579,67,295,1,216
Richmond,108,Governor,,DEM,STACEY ABRAMS,271,24,124,0,123
Richmond,109,Governor,,DEM,STACEY ABRAMS,469,43,225,4,197
Richmond,111,Governor,,DEM,STACEY ABRAMS,528,60,264,1,203
Richmond,112,Governor,,DEM,STACEY ABRAMS,254,47,103,0,104
Richmond,114,Governor,,DEM,STACEY ABRAMS,334,28,164,0,142
Richmond,115,Governor,,DEM,STACEY ABRAMS,94,7,60,0,27
Richmond,201,Governor,,DEM,STACEY ABRAMS,628,42,393,0,193
Richmond,202,Governor,,DEM,STACEY ABRAMS,1363,103,765,5,490
Richmond,203,Governor,,DEM,STACEY ABRAMS,467,45,298,0,124
Richmond,204,Governor,,DEM,STACEY ABRAMS,418,25,254,1,138
Richmond,207,Governor,,DEM,STACEY ABRAMS,1009,116,545,2,346
Richmond,208,Governor,,DEM,STACEY ABRAMS,1046,91,618,4,333
Richmond,210,Governor,,DEM,STACEY ABRAMS,725,70,332,3,320
Richmond,301,Governor,,DEM,STACEY ABRAMS,582,51,279,1,251
Richmond,302,Governor,,DEM,STACEY ABRAMS,374,27,212,4,131
Richmond,303,Governor,,DEM,STACEY ABRAMS,227,20,106,0,101
Richmond,304,Governor,,DEM,STACEY ABRAMS,104,8,59,0,37
Richmond,305,Governor,,DEM,STACEY ABRAMS,78,3,33,0,42
Richmond,306,Governor,,DEM,STACEY ABRAMS,1326,103,591,5,627
Richmond,307,Governor,,DEM,STACEY ABRAMS,364,36,178,1,149
Richmond,308,Governor,,DEM,STACEY ABRAMS,170,21,84,1,64
Richmond,309,Governor,,DEM,STACEY ABRAMS,1667,135,604,1,927
Richmond,310,Governor,,DEM,STACEY ABRAMS,2047,186,814,1,1046
Richmond,401,Governor,,DEM,STACEY ABRAMS,1219,96,492,2,629
Richmond,402,Governor,,DEM,STACEY ABRAMS,1230,115,670,3,442
Richmond,404,Governor,,DEM,STACEY ABRAMS,872,72,406,2,392
Richmond,405,Governor,,DEM,STACEY ABRAMS,2305,166,773,2,1364
Richmond,406,Governor,,DEM,STACEY ABRAMS,1809,137,722,1,949
Richmond,501,Governor,,DEM,STACEY ABRAMS,1563,173,696,2,692
