county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Toombs,15361 Lyons,Governor,,REP,BRIAN KEMP,1397,59,910,427,1
Toombs,39 New Branch,Governor,,REP,BRIAN KEMP,782,35,381,366,0
Toombs,43 Cedar Crossing,Governor,,REP,BRIAN KEMP,782,21,348,412,1
Toombs,513 V.P.D.,Governor,,REP,BRIAN KEMP,2358,142,1479,736,1
Toombs,514 S.T.I.A.L.C,Governor,,REP,BRIAN KEMP,1304,67,825,410,2
Toombs,15361 Lyons,Governor,,DEM,STACEY ABRAMS,456,46,197,211,2
Toombs,39 New Branch,Governor,,DEM,STACEY ABRAMS,84,18,32,33,1
Toombs,43 Cedar Crossing,Governor,,DEM,STACEY ABRAMS,53,3,19,31,0
Toombs,513 V.P.D.,Governor,,DEM,STACEY ABRAMS,900,153,380,367,0
Toombs,514 S.T.I.A.L.C,Governor,,DEM,STACEY ABRAMS,708,136,278,293,1
Toombs,15361 Lyons,Governor,,LIB,TED METZ,6,0,2,4,0
Toombs,39 New Branch,Governor,,LIB,TED METZ,4,0,1,3,0
Toombs,43 Cedar Crossing,Governor,,LIB,TED METZ,2,0,1,1,0
Toombs,513 V.P.D.,Governor,,LIB,TED METZ,17,0,5,12,0
Toombs,514 S.T.I.A.L.C,Governor,,LIB,TED METZ,7,1,2,4,0
Toombs,15361 Lyons,Lieutenant Governor,,REP,GEOFF DUNCAN,1335,58,873,403,1
Toombs,39 New Branch,Lieutenant Governor,,REP,GEOFF DUNCAN,758,34,369,355,0
Toombs,43 Cedar Crossing,Lieutenant Governor,,REP,GEOFF DUNCAN,741,21,327,392,1
Toombs,513 V.P.D.,Lieutenant Governor,,REP,GEOFF DUNCAN,2287,137,1431,718,1
Toombs,514 S.T.I.A.L.C,Lieutenant Governor,,REP,GEOFF DUNCAN,1281,67,805,407,2
Toombs,15361 Lyons,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,434,47,186,199,2
Toombs,39 New Branch,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,76,19,27,29,1
Toombs,43 Cedar Crossing,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,49,3,21,25,0
Toombs,513 V.P.D.,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,863,155,355,353,0
Toombs,514 S.T.I.A.L.C,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,648,130,253,264,1
Toombs,15361 Lyons,Secretary Of State,,REP,BRAD RAFFENSPERGER,1229,51,809,368,1
Toombs,39 New Branch,Secretary Of State,,REP,BRAD RAFFENSPERGER,692,33,332,327,0
Toombs,43 Cedar Crossing,Secretary Of State,,REP,BRAD RAFFENSPERGER,674,19,309,345,1
Toombs,513 V.P.D.,Secretary Of State,,REP,BRAD RAFFENSPERGER,2126,125,1338,662,1
Toombs,514 S.T.I.A.L.C,Secretary Of State,,REP,BRAD RAFFENSPERGER,1183,64,753,365,1
Toombs,15361 Lyons,Secretary Of State,,DEM,JOHN BARROW,569,51,267,249,2
Toombs,39 New Branch,Secretary Of State,,DEM,JOHN BARROW,152,17,72,62,1
Toombs,43 Cedar Crossing,Secretary Of State,,DEM,JOHN BARROW,130,4,45,81,0
Toombs,513 V.P.D.,Secretary Of State,,DEM,JOHN BARROW,1072,167,490,415,0
Toombs,514 S.T.I.A.L.C,Secretary Of State,,DEM,JOHN BARROW,792,135,330,325,2
Toombs,15361 Lyons,Secretary Of State,,LIB,SMYTHE DUVAL,22,2,11,9,0
Toombs,39 New Branch,Secretary Of State,,LIB,SMYTHE DUVAL,7,1,1,5,0
Toombs,43 Cedar Crossing,Secretary Of State,,LIB,SMYTHE DUVAL,5,0,3,2,0
Toombs,513 V.P.D.,Secretary Of State,,LIB,SMYTHE DUVAL,30,1,12,17,0
Toombs,514 S.T.I.A.L.C,Secretary Of State,,LIB,SMYTHE DUVAL,19,0,10,9,0
Toombs,15361 Lyons,Attorney General,,(REP,CHRIS CARR,1347,57,876,413,1
