county,precinct,office,district,party,candidate,votes
Wayne,Odum,Governor,,REP,BRIAN KEMP,745
Wayne,Madray Springs,Governor,,REP,BRIAN KEMP,678
Wayne,Oglethorpe,Governor,,REP,BRIAN KEMP,931
Wayne,Screven,Governor,,REP,BRIAN KEMP,959
Wayne,Empire,Governor,,REP,BRIAN KEMP,620
Wayne,Red Hill,Governor,,REP,BRIAN KEMP,445
Wayne,Altamaha,Governor,,REP,BRIAN KEMP,1064
Wayne,Gardi,Governor,,REP,BRIAN KEMP,584
Wayne,VFW,Governor,,REP,BRIAN KEMP,97
Wayne,Pine Street,Governor,,REP,BRIAN KEMP,330
Wayne,Unity,Governor,,REP,BRIAN KEMP,834
Wayne,Rec Center,Governor,,REP,BRIAN KEMP,833
Wayne,Odum,Governor,,DEM,STACEY ABRAMS,63
Wayne,Madray Springs,Governor,,DEM,STACEY ABRAMS,39
Wayne,Oglethorpe,Governor,,DEM,STACEY ABRAMS,106
Wayne,Screven,Governor,,DEM,STACEY ABRAMS,168
Wayne,Empire,Governor,,DEM,STACEY ABRAMS,35
Wayne,Red Hill,Governor,,DEM,STACEY ABRAMS,92
Wayne,Altamaha,Governor,,DEM,STACEY ABRAMS,254
Wayne,Gardi,Governor,,DEM,STACEY ABRAMS,53
Wayne,VFW,Governor,,DEM,STACEY ABRAMS,437
Wayne,Pine Street,Governor,,DEM,STACEY ABRAMS,242
Wayne,Unity,Governor,,DEM,STACEY ABRAMS,269
Wayne,Rec Center,Governor,,DEM,STACEY ABRAMS,182
Wayne,Odum,Governor,,LIB,TED METZ,3
Wayne,Madray Springs,Governor,,LIB,TED METZ,2
Wayne,Oglethorpe,Governor,,LIB,TED METZ,7
Wayne,Screven,Governor,,LIB,TED METZ,7
Wayne,Empire,Governor,,LIB,TED METZ,6
Wayne,Red Hill,Governor,,LIB,TED METZ,3
Wayne,Altamaha,Governor,,LIB,TED METZ,12
Wayne,Gardi,Governor,,LIB,TED METZ,2
Wayne,VFW,Governor,,LIB,TED METZ,1
Wayne,Pine Street,Governor,,LIB,TED METZ,5
Wayne,Unity,Governor,,LIB,TED METZ,10
Wayne,Rec Center,Governor,,LIB,TED METZ,13
Wayne,Odum,Lieutenant Governor,,REP,GEOFF DUNCAN,701
Wayne,Madray Springs,Lieutenant Governor,,REP,GEOFF DUNCAN,647
Wayne,Oglethorpe,Lieutenant Governor,,REP,GEOFF DUNCAN,903
Wayne,Screven,Lieutenant Governor,,REP,GEOFF DUNCAN,924
Wayne,Empire,Lieutenant Governor,,REP,GEOFF DUNCAN,599
Wayne,Red Hill,Lieutenant Governor,,REP,GEOFF DUNCAN,429
Wayne,Altamaha,Lieutenant Governor,,REP,GEOFF DUNCAN,1024
Wayne,Gardi,Lieutenant Governor,,REP,GEOFF DUNCAN,562
Wayne,VFW,Lieutenant Governor,,REP,GEOFF DUNCAN,102
Wayne,Pine Street,Lieutenant Governor,,REP,GEOFF DUNCAN,324
Wayne,Unity,Lieutenant Governor,,REP,GEOFF DUNCAN,812
Wayne,Rec Center,Lieutenant Governor,,REP,GEOFF DUNCAN,800
Wayne,Odum,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,67
Wayne,Madray Springs,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,48
Wayne,Oglethorpe,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,108
Wayne,Screven,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,159
Wayne,Empire,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,36
Wayne,Red Hill,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,92
Wayne,Altamaha,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,249
Wayne,Gardi,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,54
Wayne,VFW,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,383
Wayne,Pine Street,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,223
Wayne,Unity,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,262
Wayne,Rec Center,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,192
Wayne,Odum,Secretary Of State,,REP,BRAD RAFFENSPERGER,673
Wayne,Madray Springs,Secretary Of State,,REP,BRAD RAFFENSPERGER,615
Wayne,Oglethorpe,Secretary Of State,,REP,BRAD RAFFENSPERGER,858
Wayne,Screven,Secretary Of State,,REP,BRAD RAFFENSPERGER,892
Wayne,Empire,Secretary Of State,,REP,BRAD RAFFENSPERGER,573
Wayne,Red Hill,Secretary Of State,,REP,BRAD RAFFENSPERGER,411
Wayne,Altamaha,Secretary Of State,,REP,BRAD RAFFENSPERGER,985
Wayne,Gardi,Secretary Of State,,REP,BRAD RAFFENSPERGER,543
Wayne,VFW,Secretary Of State,,REP,BRAD RAFFENSPERGER,97
Wayne,Pine Street,Secretary Of State,,REP,BRAD RAFFENSPERGER,306
Wayne,Unity,Secretary Of State,,REP,BRAD RAFFENSPERGER,752
Wayne,Rec Center,Secretary Of State,,REP,BRAD RAFFENSPERGER,751
Wayne,Odum,Secretary Of State,,DEM,JOHN BARROW,110
Wayne,Madray Springs,Secretary Of State,,DEM,JOHN BARROW,83
Wayne,Oglethorpe,Secretary Of State,,DEM,JOHN BARROW,169
Wayne,Screven,Secretary Of State,,DEM,JOHN BARROW,204
Wayne,Empire,Secretary Of State,,DEM,JOHN BARROW,76
Wayne,Red Hill,Secretary Of State,,DEM,JOHN BARROW,114
Wayne,Altamaha,Secretary Of State,,DEM,JOHN BARROW,310
Wayne,Gardi,Secretary Of State,,DEM,JOHN BARROW,81
Wayne,VFW,Secretary Of State,,DEM,JOHN BARROW,409
Wayne,Pine Street,Secretary Of State,,DEM,JOHN BARROW,246
Wayne,Unity,Secretary Of State,,DEM,JOHN BARROW,321
Wayne,Rec Center,Secretary Of State,,DEM,JOHN BARROW,250
Wayne,Odum,Secretary Of State,,LIB,SMYTHE DUVAL,8
Wayne,Madray Springs,Secretary Of State,,LIB,SMYTHE DUVAL,11
Wayne,Oglethorpe,Secretary Of State,,LIB,SMYTHE DUVAL,10
Wayne,Screven,Secretary Of State,,LIB,SMYTHE DUVAL,12
Wayne,Empire,Secretary Of State,,LIB,SMYTHE DUVAL,4
Wayne,Red Hill,Secretary Of State,,LIB,SMYTHE DUVAL,6
Wayne,Altamaha,Secretary Of State,,LIB,SMYTHE DUVAL,18
Wayne,Gardi,Secretary Of State,,LIB,SMYTHE DUVAL,5
Wayne,VFW,Secretary Of State,,LIB,SMYTHE DUVAL,11
Wayne,Pine Street,Secretary Of State,,LIB,SMYTHE DUVAL,8
Wayne,Unity,Secretary Of State,,LIB,SMYTHE DUVAL,15
Wayne,Rec Center,Secretary Of State,,LIB,SMYTHE DUVAL,12
Wayne,Odum,Attorney General,,(REP,CHRIS CARR ,707
Wayne,Madray Springs,Attorney General,,(REP,CHRIS CARR ,651
Wayne,Oglethorpe,Attorney General,,(REP,CHRIS CARR ,901
Wayne,Screven,Attorney General,,(REP,CHRIS CARR ,925
Wayne,Empire,Attorney General,,(REP,CHRIS CARR ,606
Wayne,Red Hill,Attorney General,,(REP,CHRIS CARR ,437
Wayne,Altamaha,Attorney General,,(REP,CHRIS CARR ,1055
Wayne,Gardi,Attorney General,,(REP,CHRIS CARR ,569
Wayne,VFW,Attorney General,,(REP,CHRIS CARR ,108
Wayne,Pine Street,Attorney General,,(REP,CHRIS CARR ,330
Wayne,Unity,Attorney General,,(REP,CHRIS CARR ,793
Wayne,Rec Center,Attorney General,,(REP,CHRIS CARR ,813
Wayne,Odum,Attorney General,,DEM,CHARLIE BAILEY,78
Wayne,Madray Springs,Attorney General,,DEM,CHARLIE BAILEY,55
Wayne,Oglethorpe,Attorney General,,DEM,CHARLIE BAILEY,125
Wayne,Screven,Attorney General,,DEM,CHARLIE BAILEY,172
Wayne,Empire,Attorney General,,DEM,CHARLIE BAILEY,43
Wayne,Red Hill,Attorney General,,DEM,CHARLIE BAILEY,97
Wayne,Altamaha,Attorney General,,DEM,CHARLIE BAILEY,249
Wayne,Gardi,Attorney General,,DEM,CHARLIE BAILEY,56
Wayne,VFW,Attorney General,,DEM,CHARLIE BAILEY,409
Wayne,Pine Street,Attorney General,,DEM,CHARLIE BAILEY,228
Wayne,Unity,Attorney General,,DEM,CHARLIE BAILEY,291
Wayne,Rec Center,Attorney General,,DEM,CHARLIE BAILEY,194
Wayne,Odum,Commissioner Of Agriculture,,(REP,GARY BLACK ,723
Wayne,Madray Springs,Commissioner Of Agriculture,,(REP,GARY BLACK ,657
Wayne,Oglethorpe,Commissioner Of Agriculture,,(REP,GARY BLACK ,919
Wayne,Screven,Commissioner Of Agriculture,,(REP,GARY BLACK ,944
Wayne,Empire,Commissioner Of Agriculture,,(REP,GARY BLACK ,612
Wayne,Red Hill,Commissioner Of Agriculture,,(REP,GARY BLACK ,452
Wayne,Altamaha,Commissioner Of Agriculture,,(REP,GARY BLACK ,1064
Wayne,Gardi,Commissioner Of Agriculture,,(REP,GARY BLACK ,574
Wayne,VFW,Commissioner Of Agriculture,,(REP,GARY BLACK ,108
Wayne,Pine Street,Commissioner Of Agriculture,,(REP,GARY BLACK ,332
Wayne,Unity,Commissioner Of Agriculture,,(REP,GARY BLACK ,804
Wayne,Rec Center,Commissioner Of Agriculture,,(REP,GARY BLACK ,820
Wayne,Odum,Commissioner Of Agriculture,,DEM,FRED SWANN,67
Wayne,Madray Springs,Commissioner Of Agriculture,,DEM,FRED SWANN,41
Wayne,Oglethorpe,Commissioner Of Agriculture,,DEM,FRED SWANN,108
Wayne,Screven,Commissioner Of Agriculture,,DEM,FRED SWANN,156
