county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Wilkinson,Bloodworth,Governor,,REP,BRIAN KEMP,275,4,76,195,0
Wilkinson,Griffin,Governor,,REP,BRIAN KEMP,109,3,33,73,0
Wilkinson,High Hill,Governor,,REP,BRIAN KEMP,102,1,24,77,0
Wilkinson,Irwinton,Governor,,REP,BRIAN KEMP,237,1,132,104,0
Wilkinson,Ivey,Governor,,REP,BRIAN KEMP,481,11,136,334,0
Wilkinson,Lord,Governor,,REP,BRIAN KEMP,258,9,86,162,1
Wilkinson,Midway,Governor,,REP,BRIAN KEMP,118,5,67,46,0
Wilkinson,Ramah,Governor,,REP,BRIAN KEMP,579,39,176,364,0
Wilkinson,Turkey Creek,Governor,,REP,BRIAN KEMP,214,3,40,171,0
Wilkinson,Bloodworth,Governor,,DEM,STACEY ABRAMS,23,3,5,15,0
Wilkinson,Griffin,Governor,,DEM,STACEY ABRAMS,27,3,6,18,0
Wilkinson,High Hill,Governor,,DEM,STACEY ABRAMS,21,0,9,12,0
Wilkinson,Irwinton,Governor,,DEM,STACEY ABRAMS,318,29,187,102,0
Wilkinson,Ivey,Governor,,DEM,STACEY ABRAMS,60,5,12,43,0
Wilkinson,Lord,Governor,,DEM,STACEY ABRAMS,219,22,82,115,0
Wilkinson,Midway,Governor,,DEM,STACEY ABRAMS,483,60,260,163,0
Wilkinson,Ramah,Governor,,DEM,STACEY ABRAMS,645,62,216,367,0
Wilkinson,Turkey Creek,Governor,,DEM,STACEY ABRAMS,81,10,18,53,0
Wilkinson,Bloodworth,Governor,,LIB,TED METZ,1,0,0,1,0
Wilkinson,Griffin,Governor,,LIB,TED METZ,2,0,0,2,0
Wilkinson,High Hill,Governor,,LIB,TED METZ,0,0,0,0,0
Wilkinson,Irwinton,Governor,,LIB,TED METZ,0,0,0,0,0
Wilkinson,Ivey,Governor,,LIB,TED METZ,3,0,0,3,0
Wilkinson,Lord,Governor,,LIB,TED METZ,1,0,0,1,0
Wilkinson,Midway,Governor,,LIB,TED METZ,0,0,0,0,0
Wilkinson,Ramah,Governor,,LIB,TED METZ,5,0,2,3,0
Wilkinson,Turkey Creek,Governor,,LIB,TED METZ,3,0,0,3,0
Wilkinson,Bloodworth,Lieutenant Governor,,REP,GEOFF DUNCAN,270,4,74,192,0
Wilkinson,Griffin,Lieutenant Governor,,REP,GEOFF DUNCAN,104,2,33,69,0
Wilkinson,High Hill,Lieutenant Governor,,REP,GEOFF DUNCAN,93,1,24,68,0
Wilkinson,Irwinton,Lieutenant Governor,,REP,GEOFF DUNCAN,223,1,125,97,0
Wilkinson,Ivey,Lieutenant Governor,,REP,GEOFF DUNCAN,452,11,134,307,0
Wilkinson,Lord,Lieutenant Governor,,REP,GEOFF DUNCAN,238,9,84,144,1
Wilkinson,Midway,Lieutenant Governor,,REP,GEOFF DUNCAN,115,5,66,44,0
Wilkinson,Ramah,Lieutenant Governor,,REP,GEOFF DUNCAN,534,38,168,328,0
Wilkinson,Turkey Creek,Lieutenant Governor,,REP,GEOFF DUNCAN,195,3,38,154,0
Wilkinson,Bloodworth,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,24,3,6,15,0
Wilkinson,Griffin,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,30,4,6,20,0
Wilkinson,High Hill,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,23,0,9,14,0
Wilkinson,Irwinton,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,293,29,168,96,0
Wilkinson,Ivey,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,72,5,14,53,0
Wilkinson,Lord,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,198,22,77,99,0
Wilkinson,Midway,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,436,59,231,146,0
Wilkinson,Ramah,Lieutenant Governor,,DEM,SARAH RIGGS AMICO,603,61,202,340,0
