county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Monroe,BENTONS,Secretary Of State,,REP,BRAD RAFFENSPERGER,734,30,207,496,1
Monroe,BRANTLEYS,Secretary Of State,,REP,BRAD RAFFENSPERGER,395,5,111,279,0
Monroe,BURGAYS,Secretary Of State,,REP,BRAD RAFFENSPERGER,784,31,156,597,0
Monroe,CABANISS,Secretary Of State,,REP,BRAD RAFFENSPERGER,203,4,52,147,0
Monroe,COX,Secretary Of State,,REP,BRAD RAFFENSPERGER,250,8,65,177,0
Monroe,CULLODEN,Secretary Of State,,REP,BRAD RAFFENSPERGER,116,3,22,91,0
Monroe,DILLARDS,Secretary Of State,,REP,BRAD RAFFENSPERGER,298,8,104,186,0
Monroe,EVERS,Secretary Of State,,REP,BRAD RAFFENSPERGER,541,18,191,331,1
Monroe,FORSYTH,Secretary Of State,,REP,BRAD RAFFENSPERGER,663,33,351,279,0
Monroe,HIGH FALLS,Secretary Of State,,REP,BRAD RAFFENSPERGER,422,8,106,308,0
Monroe,KELSEYS,Secretary Of State,,REP,BRAD RAFFENSPERGER,159,6,24,127,2
Monroe,MIDDLEBROOKS,Secretary Of State,,REP,BRAD RAFFENSPERGER,400,9,167,224,0
Monroe,PROCTORS,Secretary Of State,,REP,BRAD RAFFENSPERGER,284,2,65,217,0
Monroe,RUSSELLVILLE,Secretary Of State,,REP,BRAD RAFFENSPERGER,159,2,35,122,0
Monroe,BENTONS,Secretary Of State,,DEM,JOHN BARROW,187,13,43,131,0
Monroe,BRANTLEYS,Secretary Of State,,DEM,JOHN BARROW,65,7,16,42,0
Monroe,BURGAYS,Secretary Of State,,DEM,JOHN BARROW,158,5,40,113,0
Monroe,CABANISS,Secretary Of State,,DEM,JOHN BARROW,80,5,19,56,0
Monroe,COX,Secretary Of State,,DEM,JOHN BARROW,75,2,29,44,0
Monroe,CULLODEN,Secretary Of State,,DEM,JOHN BARROW,51,6,2,43,0
Monroe,DILLARDS,Secretary Of State,,DEM,JOHN BARROW,60,2,15,43,0
Monroe,EVERS,Secretary Of State,,DEM,JOHN BARROW,126,3,37,85,1
Monroe,FORSYTH,Secretary Of State,,DEM,JOHN BARROW,635,91,274,269,1
Monroe,HIGH FALLS,Secretary Of State,,DEM,JOHN BARROW,90,4,28,58,0
Monroe,KELSEYS,Secretary Of State,,DEM,JOHN BARROW,124,12,22,90,0
Monroe,MIDDLEBROOKS,Secretary Of State,,DEM,JOHN BARROW,64,3,25,36,0
Monroe,PROCTORS,Secretary Of State,,DEM,JOHN BARROW,75,2,15,58,0
Monroe,RUSSELLVILLE,Secretary Of State,,DEM,JOHN BARROW,23,0,5,18,0
Monroe,BENTONS,"Public Service Commission, District 3",3,(REP,CHUCK EATON,728,30,210,487,1
Monroe,BRANTLEYS,"Public Service Commission, District 3",3,(REP,CHUCK EATON,404,5,113,286,0
Monroe,BURGAYS,"Public Service Commission, District 3",3,(REP,CHUCK EATON,779,32,153,594,0
Monroe,CABANISS,"Public Service Commission, District 3",3,(REP,CHUCK EATON,200,4,51,145,0
Monroe,COX,"Public Service Commission, District 3",3,(REP,CHUCK EATON,246,6,63,177,0
Monroe,CULLODEN,"Public Service Commission, District 3",3,(REP,CHUCK EATON,121,3,23,95,0
Monroe,DILLARDS,"Public Service Commission, District 3",3,(REP,CHUCK EATON,300,9,105,186,0
Monroe,EVERS,"Public Service Commission, District 3",3,(REP,CHUCK EATON,536,18,190,327,1
Monroe,FORSYTH,"Public Service Commission, District 3",3,(REP,CHUCK EATON,653,31,341,281,0
Monroe,HIGH FALLS,"Public Service Commission, District 3",3,(REP,CHUCK EATON,410,7,104,299,0
Monroe,KELSEYS,"Public Service Commission, District 3",3,(REP,CHUCK EATON,150,4,25,119,2
Monroe,MIDDLEBROOKS,"Public Service Commission, District 3",3,(REP,CHUCK EATON,397,9,165,223,0
Monroe,PROCTORS,"Public Service Commission, District 3",3,(REP,CHUCK EATON,281,2,66,213,0
Monroe,RUSSELLVILLE,"Public Service Commission, District 3",3,(REP,CHUCK EATON,161,2,37,122,0
Monroe,BENTONS,"Public Service Commission, District 3",3,DEM,LINDY MILLER,176,13,36,127,0
Monroe,BRANTLEYS,"Public Service Commission, District 3",3,DEM,LINDY MILLER,56,7,15,34,0
Monroe,BURGAYS,"Public Service Commission, District 3",3,DEM,LINDY MILLER,149,3,36,110,0
Monroe,CABANISS,"Public Service Commission, District 3",3,DEM,LINDY MILLER,78,5,20,53,0
Monroe,COX,"Public Service Commission, District 3",3,DEM,LINDY MILLER,74,4,29,41,0
Monroe,CULLODEN,"Public Service Commission, District 3",3,DEM,LINDY MILLER,43,6,1,36,0
Monroe,DILLARDS,"Public Service Commission, District 3",3,DEM,LINDY MILLER,51,1,12,38,0
Monroe,EVERS,"Public Service Commission, District 3",3,DEM,LINDY MILLER,120,2,35,82,1
Monroe,FORSYTH,"Public Service Commission, District 3",3,DEM,LINDY MILLER,607,91,255,260,1
Monroe,HIGH FALLS,"Public Service Commission, District 3",3,DEM,LINDY MILLER,94,5,29,60,0
Monroe,KELSEYS,"Public Service Commission, District 3",3,DEM,LINDY MILLER,125,14,21,90,0
Monroe,MIDDLEBROOKS,"Public Service Commission, District 3",3,DEM,LINDY MILLER,60,3,24,33,0
Monroe,PROCTORS,"Public Service Commission, District 3",3,DEM,LINDY MILLER,71,2,12,57,0
Monroe,RUSSELLVILLE,"Public Service Commission, District 3",3,DEM,LINDY MILLER,18,0,3,15,0
Monroe,BENTONS,Sheriff,,,"L. C. BITTICK, III R",269,13,82,174,0
Monroe,BRANTLEYS,Sheriff,,,"L. C. BITTICK, III R",224,4,58,162,0
Monroe,BURGAYS,Sheriff,,,"L. C. BITTICK, III R",341,21,61,259,0
Monroe,CABANISS,Sheriff,,,"L. C. BITTICK, III R",145,3,29,113,0
Monroe,COX,Sheriff,,,"L. C. BITTICK, III R",139,2,41,96,0
Monroe,CULLODEN,Sheriff,,,"L. C. BITTICK, III R",82,4,12,66,0
Monroe,DILLARDS,Sheriff,,,"L. C. BITTICK, III R",159,3,55,101,0
Monroe,EVERS,Sheriff,,,"L. C. BITTICK, III R",319,12,116,189,2
Monroe,FORSYTH,Sheriff,,,"L. C. BITTICK, III R",690,66,327,296,1
Monroe,HIGH FALLS,Sheriff,,,"L. C. BITTICK, III R",192,1,61,130,0
Monroe,KELSEYS,Sheriff,,,"L. C. BITTICK, III R",110,14,28,68,0
Monroe,MIDDLEBROOKS,Sheriff,,,"L. C. BITTICK, III R",155,3,67,85,0
Monroe,PROCTORS,Sheriff,,,"L. C. BITTICK, III R",214,3,57,154,0
Monroe,RUSSELLVILLE,Sheriff,,,"L. C. BITTICK, III R",73,1,11,61,0
Monroe,BENTONS,Sheriff,,,"W. FREEMAN, III R",638,28,165,444,1
Monroe,BRANTLEYS,Sheriff,,,"W. FREEMAN, III R",237,8,70,159,0
Monroe,BURGAYS,Sheriff,,,"W. FREEMAN, III R",586,14,130,442,0
