county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Upson,YATESVILLE,Secretary Of State,,REP,BRAD RAFFENSPERGER,295,2,59,233,1
Upson,SALEM,Secretary Of State,,REP,BRAD RAFFENSPERGER,8,0,2,6,0
Upson,REDBONE,Secretary Of State,,REP,BRAD RAFFENSPERGER,1522,73,658,791,0
Upson,TOWN,Secretary Of State,,REP,BRAD RAFFENSPERGER,1005,79,439,487,0
Upson,YATESVILLE,Secretary Of State,,DEM,JOHN BARROW,89,5,8,74,2
Upson,SALEM,Secretary Of State,,DEM,JOHN BARROW,147,6,22,119,0
Upson,REDBONE,Secretary Of State,,DEM,JOHN BARROW,358,36,142,180,0
Upson,TOWN,Secretary Of State,,DEM,JOHN BARROW,590,80,169,341,0
Upson,YATESVILLE,"Public Service Commission, District 3",3,(REP,CHUCK EATON,292,2,57,231,2
Upson,SALEM,"Public Service Commission, District 3",3,(REP,CHUCK EATON,5,0,0,5,0
Upson,REDBONE,"Public Service Commission, District 3",3,(REP,CHUCK EATON,1480,70,637,773,0
Upson,TOWN,"Public Service Commission, District 3",3,(REP,CHUCK EATON,994,79,437,478,0
Upson,YATESVILLE,"Public Service Commission, District 3",3,DEM,LINDY MILLER,89,5,10,73,1
Upson,SALEM,"Public Service Commission, District 3",3,DEM,LINDY MILLER,149,6,24,119,0
Upson,REDBONE,"Public Service Commission, District 3",3,DEM,LINDY MILLER,391,40,157,194,0
Upson,TOWN,"Public Service Commission, District 3",3,DEM,LINDY MILLER,588,79,167,342,0
