county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Wayne,Odum,Secretary Of State,,REP,BRAD RAFFENSPERGER,246,5,66,175,0
Wayne,Madray Springs,Secretary Of State,,REP,BRAD RAFFENSPERGER,202,9,90,103,0
Wayne,Oglethorpe,Secretary Of State,,REP,BRAD RAFFENSPERGER,366,23,163,180,0
Wayne,Screven,Secretary Of State,,REP,BRAD RAFFENSPERGER,354,12,80,262,0
Wayne,Empire,Secretary Of State,,REP,BRAD RAFFENSPERGER,211,19,74,118,0
Wayne,Red Hill,Secretary Of State,,REP,BRAD RAFFENSPERGER,154,11,60,83,0
Wayne,Altamaha,Secretary Of State,,REP,BRAD RAFFENSPERGER,352,22,189,141,0
Wayne,Gardi,Secretary Of State,,REP,BRAD RAFFENSPERGER,215,7,50,158,0
Wayne,VFW,Secretary Of State,,REP,BRAD RAFFENSPERGER,32,3,22,7,0
Wayne,Pine Street,Secretary Of State,,REP,BRAD RAFFENSPERGER,120,5,58,57,0
Wayne,Unity,Secretary Of State,,REP,BRAD RAFFENSPERGER,293,18,140,135,0
Wayne,Rec Center,Secretary Of State,,REP,BRAD RAFFENSPERGER,286,13,102,171,0
Wayne,Odum,Secretary Of State,,DEM,JOHN BARROW,31,3,8,20,0
Wayne,Madray Springs,Secretary Of State,,DEM,JOHN BARROW,14,2,3,9,0
Wayne,Oglethorpe,Secretary Of State,,DEM,JOHN BARROW,58,1,33,24,0
Wayne,Screven,Secretary Of State,,DEM,JOHN BARROW,77,2,26,48,1
Wayne,Empire,Secretary Of State,,DEM,JOHN BARROW,18,2,8,8,0
Wayne,Red Hill,Secretary Of State,,DEM,JOHN BARROW,37,3,12,22,0
Wayne,Altamaha,Secretary Of State,,DEM,JOHN BARROW,82,3,31,48,0
Wayne,Gardi,Secretary Of State,,DEM,JOHN BARROW,20,3,5,12,0
Wayne,VFW,Secretary Of State,,DEM,JOHN BARROW,145,12,57,76,0
Wayne,Pine Street,Secretary Of State,,DEM,JOHN BARROW,93,3,26,64,0
Wayne,Unity,Secretary Of State,,DEM,JOHN BARROW,95,6,49,40,0
Wayne,Rec Center,Secretary Of State,,DEM,JOHN BARROW,73,2,20,51,0
Wayne,Odum,"Public Service Commission, District 3",3,(REP,CHUCK EATON,247,5,66,176,0
Wayne,Madray Springs,"Public Service Commission, District 3",3,(REP,CHUCK EATON,205,9,91,105,0
Wayne,Oglethorpe,"Public Service Commission, District 3",3,(REP,CHUCK EATON,368,23,163,182,0
Wayne,Screven,"Public Service Commission, District 3",3,(REP,CHUCK EATON,359,12,83,264,0
Wayne,Empire,"Public Service Commission, District 3",3,(REP,CHUCK EATON,212,18,74,120,0
Wayne,Red Hill,"Public Service Commission, District 3",3,(REP,CHUCK EATON,153,9,60,84,0
Wayne,Altamaha,"Public Service Commission, District 3",3,(REP,CHUCK EATON,355,22,185,148,0
Wayne,Gardi,"Public Service Commission, District 3",3,(REP,CHUCK EATON,218,7,51,160,0
Wayne,VFW,"Public Service Commission, District 3",3,(REP,CHUCK EATON,38,3,25,10,0
Wayne,Pine Street,"Public Service Commission, District 3",3,(REP,CHUCK EATON,124,5,60,59,0
Wayne,Unity,"Public Service Commission, District 3",3,(REP,CHUCK EATON,301,20,145,136,0
Wayne,Rec Center,"Public Service Commission, District 3",3,(REP,CHUCK EATON,292,13,104,175,0
Wayne,Odum,"Public Service Commission, District 3",3,DEM,LINDY MILLER,26,3,6,17,0
Wayne,Madray Springs,"Public Service Commission, District 3",3,DEM,LINDY MILLER,11,2,2,7,0
Wayne,Oglethorpe,"Public Service Commission, District 3",3,DEM,LINDY MILLER,54,1,33,20,0
Wayne,Screven,"Public Service Commission, District 3",3,DEM,LINDY MILLER,71,2,23,45,1
Wayne,Empire,"Public Service Commission, District 3",3,DEM,LINDY MILLER,16,2,8,6,0
Wayne,Red Hill,"Public Service Commission, District 3",3,DEM,LINDY MILLER,37,5,12,20,0
Wayne,Altamaha,"Public Service Commission, District 3",3,DEM,LINDY MILLER,77,3,32,42,0
Wayne,Gardi,"Public Service Commission, District 3",3,DEM,LINDY MILLER,15,3,4,8,0
Wayne,VFW,"Public Service Commission, District 3",3,DEM,LINDY MILLER,137,12,54,71,0
Wayne,Pine Street,"Public Service Commission, District 3",3,DEM,LINDY MILLER,89,3,24,62,0
Wayne,Unity,"Public Service Commission, District 3",3,DEM,LINDY MILLER,84,4,43,37,0
Wayne,Rec Center,"Public Service Commission, District 3",3,DEM,LINDY MILLER,66,2,17,47,0
