county,precinct,office,district,party,candidate,votes,advance_voting_votes,absentee_by_mail_votes,provisional_votes,election_day_votes
Towns,Young Harris,U.S. Senate,,Rep,Herschel Junior Walker,1652,967,75,2,608
Towns,Hiawassee,U.S. Senate,,Rep,Herschel Junior Walker,3916,2784,200,1,931
Towns,Young Harris,U.S. Senate,,Dem,Raphael Warnock ,474,333,62,2,77
Towns,Hiawassee,U.S. Senate,,Dem,Raphael Warnock ,888,629,150,0,109
Towns,Young Harris,U.S. Senate,,Lib,Chase Oliver,55,27,4,0,24
Towns,Hiawassee,U.S. Senate,,Lib,Chase Oliver,124,79,11,1,33
Towns,Young Harris,Governor,,Rep,Brian Kemp ,1811,1064,91,3,653
Towns,Hiawassee,Governor,,Rep,Brian Kemp ,4255,3021,235,2,997
Towns,Young Harris,Governor,,Dem,Stacey Abrams,371,266,51,1,53
Towns,Hiawassee,Governor,,Dem,Stacey Abrams,681,481,129,0,71
Towns,Young Harris,Governor,,Lib,Shane Hazel,14,5,1,0,8
Towns,Hiawassee,Governor,,Lib,Shane Hazel,48,29,3,0,16
Towns,Young Harris,Lieutenant Governor,,Rep,Burt Jones,1742,1022,85,3,632
Towns,Hiawassee,Lieutenant Governor,,Rep,Burt Jones,4078,2901,222,2,953
Towns,Young Harris,Lieutenant Governor,,Dem,Charlie Bailey,416,297,54,1,64
Towns,Hiawassee,Lieutenant Governor,,Dem,Charlie Bailey,781,552,137,0,92
Towns,Young Harris,Lieutenant Governor,,Lib,Ryan Graham,21,8,2,0,11
Towns,Hiawassee,Lieutenant Governor,,Lib,Ryan Graham,83,45,9,0,29
Towns,Young Harris,Secretary of State,,Rep,Brad Raffensperger ,1744,1035,94,3,612
Towns,Hiawassee,Secretary of State,,Rep,Brad Raffensperger ,4044,2888,234,2,920
Towns,Young Harris,Secretary of State,,Dem,Bee Nguyen,359,251,47,1,60
Towns,Hiawassee,Secretary of State,,Dem,Bee Nguyen,702,489,121,0,92
Towns,Young Harris,Secretary of State,,Lib,Ted Metz,68,38,2,0,28
Towns,Hiawassee,Secretary of State,,Lib,Ted Metz,172,103,12,0,57
Towns,Young Harris,Attorney General,,Rep,Chris Carr ,1742,1030,81,2,629
Towns,Hiawassee,Attorney General,,Rep,Chris Carr ,4107,2908,233,2,964
Towns,Young Harris,Attorney General,,Dem,"Jennifer """"Jen"""" Jordan",419,293,57,2,67
Towns,Hiawassee,Attorney General,,Dem,"Jennifer """"Jen"""" Jordan",771,551,129,0,91
Towns,Young Harris,Attorney General,,Lib,Martin Cowen,19,4,4,0,11
Towns,Hiawassee,Attorney General,,Lib,Martin Cowen,68,40,4,0,24
Towns,Young Harris,Commissioner of Agriculture,,Rep,Tyler Harper,1770,1040,89,2,639
Towns,Hiawassee,Commissioner of Agriculture,,Rep,Tyler Harper,4161,2953,241,2,965
Towns,Young Harris,Commissioner of Agriculture,,Dem,Nakita Hemingway,383,274,50,2,57
Towns,Hiawassee,Commissioner of Agriculture,,Dem,Nakita Hemingway,683,484,117,0,82
Towns,Young Harris,Commissioner of Agriculture,,Lib,David Raudabaugh,25,13,2,0,10
Towns,Hiawassee,Commissioner of Agriculture,,Lib,David Raudabaugh,99,64,8,0,27
